เรียนเพลิน,แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
เป้า,ต.หนองขาม อ.อาจสามารถ จ.ร้อยเอ็ด 45160,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
เมืองคลอง,ต.หนองขาม อ.อาจสามารถ จ.ร้อยเอ็ด -,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
เมืองคลองสาขาบ้านดอนงัว,ต.หนองขาม อ.อาจสามารถ จ.ร้อยเอ็ด 45160,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
เหล่าง้าวโนนค้อประชาสรรค์,ต.ขี้เหล็ก อ.อาจสามารถ จ.ร้อยเอ็ด 45160,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
เหล่าใหญ่(สมานราษฎร์ศรัทธาลัย),ต.โพธิ์ทอง อ.ศรีสมเด็จ จ.ร้อยเอ็ด 45000,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
เหล่ากุด,ต.สวนจิก อ.ศรีสมเด็จ จ.ร้อยเอ็ด 45280,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
เลิงคา,ต.ดินดำ อ.จังหาร จ.ร้อยเอ็ด 45270,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
เหล่ากล้วย,ต.ปาฝา อ.จังหาร จ.ร้อยเอ็ด 45270,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
เหล่างิ้ว(เหล่างิ้ววิทยานุกูล),ต.จังหาร อ.จังหาร จ.ร้อยเอ็ด 45270,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
เปลือยตาลคุรุวิทยาประชานุกูล,ต.ดงสิงห์ อ.จังหาร จ.ร้อยเอ็ด 45270,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
เกษมสุข,ต.พลับพลา อ.เชียงขวัญ จ.ร้อยเอ็ด 45170,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
เขือง,ต.บ้านเขือง อ.เชียงขวัญ จ.ร้อยเอ็ด 45000,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
เด่นราษฎร์,ต.เด่นราษฎร์ อ.หนองฮี จ.ร้อยเอ็ด 45140,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
เทอดไทย,ต.เทอดไทย อ.ทุ่งเขาหลวง จ.ร้อยเอ็ด 45170,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 1
เหล็กกกกอกสามัคคี,ต.เหนือ อ.เมืองกาฬสินธุ์ จ.กาฬสินธุ์ 46000,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 1
เหล่าค้อ,ต.เชียงเครือ อ.เมืองกาฬสินธุ์ จ.กาฬสินธุ์ 46000,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 1
เสียววิทยาสรรพ์,ต.หัวงัว อ.ยางตลาด จ.กาฬสินธุ์ 46120,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 2
เว่อวิทยานุกูล,ต.บัวบาน อ.ยางตลาด จ.กาฬสินธุ์,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 2
เก่าเดื่อ,ต.ทุ่งคลอง อ.คำม่วง จ.กาฬสินธุ์ 46180,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 3
เกิ้ง(สลากกินแบ่งสงเคราะห์-170),ต.นาตาล อ.ท่าคันโท จ.กาฬสินธุ์,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 2
เหล่าภูพานวิทยา,ต.แซงบาดาล อ.สมเด็จ จ.กาฬสินธุ์ 46150,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 3
เหล่าสีแก้ว,ต.ไค้นุ่น อ.ห้วยผึ้ง จ.กาฬสินธุ์ 46240,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 3
เชิงดอย,ต.นาม่อง อ.กุดบาก จ.สกลนคร 47180,เขตพื้นที่การศึกษาสกลนคร เขต 2
เปือย(พรรณา),ต.วังยาง อ.พรรณานิคม จ.สกลนคร 47130,เขตพื้นที่การศึกษาสกลนคร เขต 2
เสาขวัญกุดก้อม,ต.ไร่ อ.พรรณานิคม จ.สกลนคร 47130,เขตพื้นที่การศึกษาสกลนคร เขต 2
เชิงชุม,ต.เชิงชุม อ.พรรณานิคม จ.สกลนคร 47130,เขตพื้นที่การศึกษาสกลนคร เขต 2
เหล่าโพนทองขอนขว้าง,ต.วาริชภูมิ อ.วาริชภูมิ จ.สกลนคร 47150,เขตพื้นที่การศึกษาสกลนคร เขต 2
เดื่อศรีคันไชย,ต.เดื่อศรีคันไชย อ.วานรนิวาส จ.สกลนคร 47120,เขตพื้นที่การศึกษาสกลนคร เขต 3
เชียงเพ็ง,ต.หนองสนม อ.วานรนิวาส จ.สกลนคร 47120,เขตพื้นที่การศึกษาสกลนคร เขต 3
เพีย,ต.หนองบัวสิม อ.คำตากล้า จ.สกลนคร 47250,เขตพื้นที่การศึกษาสกลนคร เขต 3
เหล่าผักใส่,ต.ห้วยหลัว อ.บ้านม่วง จ.สกลนคร 47140,เขตพื้นที่การศึกษาสกลนคร เขต 3
เซือม,ต.โพนแพง อ.อากาศอำนวย จ.สกลนคร 47170,เขตพื้นที่การศึกษาสกลนคร เขต 3
เสาวัด,ต.โพนงาม อ.อากาศอำนวย จ.สกลนคร 47170,เขตพื้นที่การศึกษาสกลนคร เขต 3
เม่นน้อย,ต.บะหว้า อ.อากาศอำนวย จ.สกลนคร 47170,เขตพื้นที่การศึกษาสกลนคร เขต 3
เปือยทานตะวันพิทยาสรรพ์,ต.สว่างแดนดิน อ.สว่างแดนดิน จ.สกลนคร 47110,เขตพื้นที่การศึกษาสกลนคร เขต 2
เตาไหสร้างแก้ว,ต.ทรายมูล อ.สว่างแดนดิน จ.สกลนคร 47110,เขตพื้นที่การศึกษาสกลนคร เขต 2
เล่า(ประชานุเคราะห์),ต.ตาลโกน อ.สว่างแดนดิน จ.สกลนคร 47240,เขตพื้นที่การศึกษาสกลนคร เขต 2
เหล่าโพนค้อเหล่าราษฎร์วิทยา,ต.เหล่าโพนค้อ อ.โคกศรีสุพรรณ จ.สกลนคร 47280,เขตพื้นที่การศึกษาสกลนคร เขต 1
เหล่าบ้านถ่อน,ต.บ้านเหล่า อ.เจริญศิลป์ จ.สกลนคร 47290,เขตพื้นที่การศึกษาสกลนคร เขต 3
เชียงสือราษฎร์อำนวย,ต.เชียงสือ อ.โพนนาแก้ว จ.สกลนคร 47230,เขตพื้นที่การศึกษาสกลนคร เขต 1
เนินสะอาด,ต.นาราชควาย อ.เมืองนครพนม จ.นครพนม 48000,เขตพื้นที่การศึกษานครพนม เขต 1
เหล่าภูมีคำธาตุ,ต.หนองญาติ อ.เมืองนครพนม จ.นครพนม 48000,เขตพื้นที่การศึกษานครพนม เขต 1
เหล่าศรีโหนโห่,ต.พนอม อ.ท่าอุเทน จ.นครพนม 48120,เขตพื้นที่การศึกษานครพนม เขต 2
เหล่าหนาด,ต.พนอม อ.ท่าอุเทน จ.นครพนม 48120,เขตพื้นที่การศึกษานครพนม เขต 2
เชียงยืน,ต.เวินพระบาท อ.ท่าอุเทน จ.นครพนม 48120,เขตพื้นที่การศึกษานครพนม เขต 2
เวินพระบาท,ต.เวินพระบาท อ.ท่าอุเทน จ.นครพนม 48120,เขตพื้นที่การศึกษานครพนม เขต 2
เหล่าสำราญ,ต.โพนทอง อ.เรณูนคร จ.นครพนม 48170,เขตพื้นที่การศึกษานครพนม เขต 1
เหิบ,ต.นาขาม อ.เรณูนคร จ.นครพนม 48170,เขตพื้นที่การศึกษานครพนม เขต 1
เหล่าทุ่ง,ต.สีชมพู อ.นาแก จ.นครพนม 48130,เขตพื้นที่การศึกษานครพนม เขต 1
เซียงเซา,ต.บ้านเอื้อง อ.ศรีสงคราม จ.นครพนม 48150,เขตพื้นที่การศึกษานครพนม เขต 2
เหล่า,ต.นาคำ อ.ศรีสงคราม จ.นครพนม 48150,เขตพื้นที่การศึกษานครพนม เขต 2
เสียวสงคราม,ต.หาดแพง อ.ศรีสงคราม จ.นครพนม 48150,เขตพื้นที่การศึกษานครพนม เขต 2
เสียววิทยา,ต.บ้านเสียว อ.นาหว้า จ.นครพนม 48180,เขตพื้นที่การศึกษานครพนม เขต 2
เหล่าพัฒนา,ต.เหล่าพัฒนา อ.นาหว้า จ.นครพนม 48180,เขตพื้นที่การศึกษานครพนม เขต 2
เสาเล้า,ต.โพนสวรรค์ อ.โพนสวรรค์ จ.นครพนม 48190,เขตพื้นที่การศึกษานครพนม เขต 2
เหล่าบะดาโนนอุดม,ต.โพนบก อ.โพนสวรรค์ จ.นครพนม 48190,เขตพื้นที่การศึกษานครพนม เขต 2
เทพนิมิตร,ต.หนองซน อ.นาทม จ.นครพนม 48140,เขตพื้นที่การศึกษานครพนม เขต 2
เหล่าป่าเป้ด,ต.นาโสก อ.เมืองมุกดาหาร จ.มุกดาหาร 49110,เขตพื้นที่การศึกษามุกดาหาร เขต 1
เหมืองบ่า,ต.คำอาฮวน อ.เมืองมุกดาหาร จ.มุกดาหาร 49000,เขตพื้นที่การศึกษามุกดาหาร เขต 1
เหล่าคราม,ต.คำอาฮวน อ.เมืองมุกดาหาร จ.มุกดาหาร 49000,เขตพื้นที่การศึกษามุกดาหาร เขต 1
เหล่าหลวงเตาถ่าน,ต.หนองแวง อ.นิคมคำสร้อย จ.มุกดาหาร 49130,เขตพื้นที่การศึกษามุกดาหาร เขต 1
เหล่าแขมทอง,ต.เหล่าหมี อ.ดอนตาล จ.มุกดาหาร 49120,เขตพื้นที่การศึกษามุกดาหาร เขต 1
เหล่าหมี,ต.เหล่าหมี อ.ดอนตาล จ.มุกดาหาร 49120,เขตพื้นที่การศึกษามุกดาหาร เขต 1
เปียด,ต.ดงหลวง อ.ดงหลวง จ.มุกดาหาร 49140,เขตพื้นที่การศึกษามุกดาหาร เขต 1
เหล่าดง,ต.หนองบัว อ.ดงหลวง จ.มุกดาหาร 49140,เขตพื้นที่การศึกษามุกดาหาร เขต 1
เหล่า,ต.บ้านเหล่า อ.คำชะอี จ.มุกดาหาร 49110,เขตพื้นที่การศึกษามุกดาหาร เขต 1
เหล่าสร้างถ่อ,ต.เหล่าสร้างถ่อ อ.คำชะอี จ.มุกดาหาร 49110,เขตพื้นที่การศึกษามุกดาหาร เขต 1
เหล่าน้อย,ต.หนองสูงใต้ อ.หนองสูง จ.มุกดาหาร 49160,เขตพื้นที่การศึกษามุกดาหาร เขต 1
เป้าป่าแสด,ต.บ้านเป้า อ.หนองสูง จ.มุกดาหาร 49160,เขตพื้นที่การศึกษามุกดาหาร เขต 1
เชิงดอยสุเทพ,ต.สุเทพ อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50200,เขตพื้นที่การศึกษาเชียงใหม่ เขต 1
เมืองกลาง,ต.บ้านหลวง อ.จอมทอง จ.เชียงใหม่ 50160,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
เมืองอาง,ต.บ้านหลวง อ.จอมทอง จ.เชียงใหม่ 50160,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
เนินวิทยา,ต.ช่างเคิ่ง อ.แม่แจ่ม จ.เชียงใหม่ 50270,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
เฮาะวิทยา,ต.แจ่มหลวง อ.แม่แจ่ม จ.เชียงใหม่ 50270,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
เชียงดาว,ต.เชียงดาว อ.เชียงดาว จ.เชียงใหม่ 50170,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
เมืองนะ,ต.เมืองนะ อ.เชียงดาว จ.เชียงใหม่ 50170,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
เมืองคอง,ต.เมืองคอง อ.เชียงดาว จ.เชียงใหม่ 50170,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
เชิงดอย,ต.เชิงดอย อ.ดอยสะเก็ด จ.เชียงใหม่ 50220,เขตพื้นที่การศึกษาเชียงใหม่ เขต 1
เป้าวิทยาคาร,ต.บ้านเป้า อ.แม่แตง จ.เชียงใหม่ 50150,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
เอียก,ต.สันป่ายาง อ.แม่แตง จ.เชียงใหม่,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
เมืองกื้ด,ต.กื้ดช้าง อ.แม่แตง จ.เชียงใหม่ 50150,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
เด่น,ต.อินทขิล อ.แม่แตง จ.เชียงใหม่ 50150,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
เมืองก๊ะ,ต.สะลวง อ.แม่ริม จ.เชียงใหม่ 50330,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
เวียงฝาง,ต.เวียง อ.ฝาง จ.เชียงใหม่ 50110,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
เวียงหวาย,ต.ม่อนปิ่น อ.ฝาง จ.เชียงใหม่ 50110,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
เหมืองแร่,ต.แม่คะ อ.ฝาง จ.เชียงใหม่ 50110,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
เด่น,ต.แม่อาย อ.แม่อาย จ.เชียงใหม่,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
เขื่อนผาก,ต.เขื่อนผาก อ.พร้าว จ.เชียงใหม่ 50190,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
เนิ้ง,ต.บ้านแม อ.สันป่าตอง จ.เชียงใหม่ 50120,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
เปียง,ต.บ้านแม อ.สันป่าตอง จ.เชียงใหม่ 50120,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
เจดีย์แม่ครัว,ต.แม่แฝกใหม่ อ.สันทราย จ.เชียงใหม่ 50290,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
เมืองขอน,ต.ป่าไผ่ อ.สันทราย จ.เชียงใหม่ 50210,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
เตียนอาง,ต.บ่อหลวง อ.ฮอด จ.เชียงใหม่ 50240,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
เด่นวิทยา,ต.นาคอเรือ อ.ฮอด จ.เชียงใหม่ 50240,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
เกาะหลวง,ต.โปงทุ่ง อ.ดอยเต่า จ.เชียงใหม่ 50260,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
เวียงแหง,ต.เมืองแหง อ.เวียงแหง จ.เชียงใหม่ 50350,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
เวียงแหง สาขาเลาวู,ต.เมืองแหง อ.เวียงแหง จ.เชียงใหม่,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
เปียงหลวง,ต.เปียงหลวง อ.เวียงแหง จ.เชียงใหม่ 50350,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
เหล่าป่าฝาง,ต.ดอนเปา อ.แม่วาง จ.เชียงใหม่ 50360,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
เจริญสามัคคี,ต.ดอยหล่อ อ.ดอยหล่อ จ.เชียงใหม่ 50160,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
เหล่าเป้า,ต.ดอยหล่อ อ.ดอยหล่อ จ.เชียงใหม่ 50160,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
เวียงยอง,ต.เวียงยอง อ.เมืองลำพูน จ.ลำพูน 51000,เขตพื้นที่การศึกษาลำพูน เขต 1
เหมืองลึก,ต.ทาทุ่งหลวง อ.แม่ทา จ.ลำพูน 51170,เขตพื้นที่การศึกษาลำพูน เขต 1
เหล่ายาว,ต.เหล่ายาว อ.บ้านโฮ่ง จ.ลำพูน 51130,เขตพื้นที่การศึกษาลำพูน เขต 2
เหล่าป่าก๋อย,ต.น้ำดิบ อ.ป่าซาง จ.ลำพูน 51120,เขตพื้นที่การศึกษาลำพูน เขต 1
เหล่าดู่,ต.หนองยวง อ.เวียงหนองล่อง จ.ลำพูน 51120,เขตพื้นที่การศึกษาลำพูน เขต 2
เอื้อม,ต.บ้านเอื้อม อ.เมืองลำปาง จ.ลำปาง 52000,เขตพื้นที่การศึกษาลำปาง เขต 1
เข้าซ้อน,ต.ไหล่หิน อ.เกาะคา จ.ลำปาง 52130,เขตพื้นที่การศึกษาลำปาง เขต 2
เหล่ายาว,ต.เสริมกลาง อ.เสริมงาม จ.ลำปาง 52210,เขตพื้นที่การศึกษาลำปาง เขต 2
เปียงใจ,ต.ปงดอน อ.แจ้ห่ม จ.ลำปาง 52120,เขตพื้นที่การศึกษาลำปาง เขต 3
เลาสู,ต.ปงดอน อ.แจ้ห่ม จ.ลำปาง 52140,เขตพื้นที่การศึกษาลำปาง เขต 3
เมืองตึง,ต.วังทอง อ.วังเหนือ จ.ลำปาง 52140,เขตพื้นที่การศึกษาลำปาง เขต 3
เวียง,ต.ล้อมแรด อ.เถิน จ.ลำปาง 52160,เขตพื้นที่การศึกษาลำปาง เขต 2
เหล่า,ต.ล้อมแรด อ.เถิน จ.ลำปาง 52160,เขตพื้นที่การศึกษาลำปาง เขต 2
เอียก-นาบง,ต.ดอนไฟ อ.แม่ทะ จ.ลำปาง 52150,เขตพื้นที่การศึกษาลำปาง เขต 2
เด่น,ต.สมัย อ.สบปราบ จ.ลำปาง 52170,เขตพื้นที่การศึกษาลำปาง เขต 2
เวียงเหนือ,ต.เมืองยาว อ.ห้างฉัตร จ.ลำปาง 52190,เขตพื้นที่การศึกษาลำปาง เขต 1
เหล่า,ต.เมืองยาว อ.ห้างฉัตร จ.ลำปาง 52190,เขตพื้นที่การศึกษาลำปาง เขต 1
เฮี้ย,ต.ทุ่งกว๋าว อ.เมืองปาน จ.ลำปาง 52240,เขตพื้นที่การศึกษาลำปาง เขต 3
เด่นด่าน,ต.บ้านด่าน อ.เมืองอุตรดิตถ์ จ.อุตรดิตถ์ 53000,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
เหล่าป่าสา,ต.ขุนฝาง อ.เมืองอุตรดิตถ์ จ.อุตรดิตถ์ 53000,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
เด่นสําโรง,ต.หาดสองแคว อ.ตรอน จ.อุตรดิตถ์ 53140,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
เหล่า,ต.น้ำอ่าง อ.ตรอน จ.อุตรดิตถ์ 53140,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
เด่นเหล็ก,ต.เด่นเหล็ก อ.น้ำปาด จ.อุตรดิตถ์ 53110,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 2
เดิ่น,ต.สองห้อง อ.ฟากท่า จ.อุตรดิตถ์ 53160,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 2
เด่นชาติ,ต.บ่อเบี้ย อ.บ้านโคก จ.อุตรดิตถ์ 53180,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 2
เต่าไหเหนือ,ต.ท่าสัก อ.พิชัย จ.อุตรดิตถ์ 53220,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
เนินซ่าน,ต.ทุ่งยั้ง อ.ลับแล จ.อุตรดิตถ์ 53130,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
เขาสัก,ต.ผักขวง อ.ทองแสนขัน จ.อุตรดิตถ์ 53230,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
เหล่า(พงษ์เกีรยติประชาสรรค์),ต.นาจักร อ.เมืองแพร่ จ.แพร่ 54000,เขตพื้นที่การศึกษาแพร่ เขต 1
เวียงตั้ง(คำวรรณประชานุกูล),ต.วังธง อ.เมืองแพร่ จ.แพร่ 54000,เขตพื้นที่การศึกษาแพร่ เขต 1
เวียง(เวียงราษฎร์บำรุง),ต.บ้านเวียง อ.ร้องกวาง จ.แพร่ 54140,เขตพื้นที่การศึกษาแพร่ เขต 1
เหล่า(รัฐราษฎร์บำรุง),ต.เวียงต้า อ.ลอง จ.แพร่ 54150,เขตพื้นที่การศึกษาแพร่ เขต 2
เค็ม(รัฐประสาทราษฎร์บำรุง),ต.หัวทุ่ง อ.ลอง จ.แพร่,เขตพื้นที่การศึกษาแพร่ เขต 2
เหล่า(พิชัยศิริราษฎร์รังสรรค์),ต.บ้านเหล่า อ.สูงเม่น จ.แพร่ 54130,เขตพื้นที่การศึกษาแพร่ เขต 2
เขื่อนสุนทร(รัฐประชาวิทยา),ต.เวียงทอง อ.สูงเม่น จ.แพร่ 54000,เขตพื้นที่การศึกษาแพร่ เขต 2
เวียงทอง(เวียงทองวิทยาคาร),ต.เวียงทอง อ.สูงเม่น จ.แพร่ 54000,เขตพื้นที่การศึกษาแพร่ เขต 2
เด่นชุมพล,ต.ปงป่าหวาย อ.เด่นชัย จ.แพร่ 54110,เขตพื้นที่การศึกษาแพร่ เขต 2
เทพ(เทพสุนทรินทร์),ต.บ้านกลาง อ.สอง จ.แพร่ 54120,เขตพื้นที่การศึกษาแพร่ เขต 1
เตาปูน(พิไชยาประชานุกูล),ต.เตาปูน อ.สอง จ.แพร่ 54120,เขตพื้นที่การศึกษาแพร่ เขต 1
เปาปมดงยาง(มิตรภาพที่ 155),ต.นาพูน อ.วังชิ้น จ.แพร่ 54160,เขตพื้นที่การศึกษาแพร่ เขต 2
เรือง,ต.เรือง อ.เมืองน่าน จ.น่าน 55000,เขตพื้นที่การศึกษาน่าน เขต 1
เชียงยืน,ต.สวก อ.เมืองน่าน จ.น่าน 55000,เขตพื้นที่การศึกษาน่าน เขต 1
เป้า,ต.บ้านฟ้า อ.บ้านหลวง จ.น่าน 55190,เขตพื้นที่การศึกษาน่าน เขต 1
เชียงของ,ต.เชียงของ อ.นาน้อย จ.น่าน 55150,เขตพื้นที่การศึกษาน่าน เขต 1
เชตวัน,ต.สันทะ อ.นาน้อย จ.น่าน 55150,เขตพื้นที่การศึกษาน่าน เขต 1
เปา,ต.น้ำตก อ.นาน้อย จ.น่าน 55150,เขตพื้นที่การศึกษาน่าน เขต 1
เสี้ยว,ต.ไชยวัฒนา อ.ปัว จ.น่าน 55120,เขตพื้นที่การศึกษาน่าน เขต 2
เชียงแล นาทราย(คุรุราษฎร์รังสฤษฎ์),ต.ริม อ.ท่าวังผา จ.น่าน 55140,เขตพื้นที่การศึกษาน่าน เขต 2
เสี้ยว,ต.ยม อ.ท่าวังผา จ.น่าน 55140,เขตพื้นที่การศึกษาน่าน เขต 2
เอิน,ต.แม่สา อ.เวียงสา จ.น่าน 55110,เขตพื้นที่การศึกษาน่าน เขต 1
เวียงสอง,ต.และ อ.ทุ่งช้าง จ.น่าน 55140,เขตพื้นที่การศึกษาน่าน เขต 2
เกวต,ต.พญาแก้ว อ.เชียงกลาง จ.น่าน 55160,เขตพื้นที่การศึกษาน่าน เขต 2
เหล่าอ้อ,ต.พระพุทธบาท อ.เชียงกลาง จ.น่าน 55160,เขตพื้นที่การศึกษาน่าน เขต 2
เมืองจัง,ต.เมืองจัง อ.ภูเพียง จ.น่าน 55000,เขตพื้นที่การศึกษาน่าน เขต 1
เปียงซ้อ,ต.ขุนน่าน อ.เฉลิมพระเกียรติ จ.น่าน 55130,เขตพื้นที่การศึกษาน่าน เขต 2
เจดีย์งาม,ต.ท่าวังทอง อ.เมืองพะเยา จ.พะเยา 56000,เขตพื้นที่การศึกษาพะเยา เขต 1
เวียงลอ,ต.ลอ อ.จุน จ.พะเยา 56150,เขตพื้นที่การศึกษาพะเยา เขต 2
เนินสมบูรณ์,ต.ห้วยลาน อ.ดอกคำใต้ จ.พะเยา 56120,เขตพื้นที่การศึกษาพะเยา เขต 1
เลี้ยว,ต.งิม อ.ปง จ.พะเยา 56140,เขตพื้นที่การศึกษาพะเยา เขต 2
เหล่า,ต.บ้านเหล่า อ.แม่ใจ จ.พะเยา 56130,เขตพื้นที่การศึกษาพะเยา เขต 1
เจน(เจนจันทรานุกูล),ต.ดงเจน อ.ภูกามยาว จ.พะเยา 56000,เขตพื้นที่การศึกษาพะเยา เขต 1
เวียงกลาง,ต.แม่ข้าวต้ม อ.เมืองเชียงราย จ.เชียงราย 57100,เขตพื้นที่การศึกษาเชียงราย เขต 1
เวียงกือนา,ต.ริมกก อ.เมืองเชียงราย จ.เชียงราย 57100,เขตพื้นที่การศึกษาเชียงราย เขต 1
เวียงชัย,ต.เวียงชัย อ.เวียงชัย จ.เชียงราย 57210,เขตพื้นที่การศึกษาเชียงราย เขต 1
เวียงเดิม,ต.เวียงเหนือ อ.เวียงชัย จ.เชียงราย 57210,เขตพื้นที่การศึกษาเชียงราย เขต 1
เมืองชุม,ต.เมืองชุม อ.เวียงชัย จ.เชียงราย 57210,เขตพื้นที่การศึกษาเชียงราย เขต 1
เชียงคาน(ราษฎร์ประสานมิตร),ต.สถาน อ.เชียงของ จ.เชียงราย 57140,เขตพื้นที่การศึกษาเชียงราย เขต 4
เกี๋ยง,ต.ห้วยซ้อ อ.เชียงของ จ.เชียงราย 57140,เขตพื้นที่การศึกษาเชียงราย เขต 4
เวียงหมอก,ต.ห้วยซ้อ อ.เชียงของ จ.เชียงราย 57140,เขตพื้นที่การศึกษาเชียงราย เขต 4
เขียะ,ต.ศรีดอนชัย อ.เชียงของ จ.เชียงราย 57140,เขตพื้นที่การศึกษาเชียงราย เขต 4
เมืองกาญจน์,ต.ริมโขง อ.เชียงของ จ.เชียงราย 57140,เขตพื้นที่การศึกษาเชียงราย เขต 4
เกี๋ยงใต้,ต.แม่ลอย อ.เทิง จ.เชียงราย 57230,เขตพื้นที่การศึกษาเชียงราย เขต 4
เกี๋ยง(คุรุราษฎร์วิทยา),ต.แม่ลอย อ.เทิง จ.เชียงราย 57230,เขตพื้นที่การศึกษาเชียงราย เขต 4
เชียงเคี่ยน(คณาราษฎร์บำรุง),ต.เชียงเคี่ยน อ.เทิง จ.เชียงราย 57230,เขตพื้นที่การศึกษาเชียงราย เขต 4
เอียน(สหราษฎร์บำรุง),ต.หงาว อ.เทิง จ.เชียงราย 57160,เขตพื้นที่การศึกษาเชียงราย เขต 4
เหมืองง่า,ต.สันติสุข อ.พาน จ.เชียงราย 57120,เขตพื้นที่การศึกษาเชียงราย เขต 2
เจริญเมือง,ต.เจริญเมือง อ.พาน จ.เชียงราย 57120,เขตพื้นที่การศึกษาเชียงราย เขต 2
เก่า,ต.เมืองพาน อ.พาน จ.เชียงราย 57120,เขตพื้นที่การศึกษาเชียงราย เขต 2
เวียงสา,ต.ศรีค้ำ อ.แม่จัน จ.เชียงราย 57110,เขตพื้นที่การศึกษาเชียงราย เขต 3
เวียงแก้ว,ต.ศรีดอนมูล อ.เชียงแสน จ.เชียงราย 57150,เขตพื้นที่การศึกษาเชียงราย เขต 3
เหมืองแดง,ต.แม่สาย อ.แม่สาย จ.เชียงราย 57130,เขตพื้นที่การศึกษาเชียงราย เขต 3
เหมืองแดงน้อย,ต.เกาะช้าง อ.แม่สาย จ.เชียงราย 57130,เขตพื้นที่การศึกษาเชียงราย เขต 3
เวียงพาน,ต.เวียงพางคำ อ.แม่สาย จ.เชียงราย 57130,เขตพื้นที่การศึกษาเชียงราย เขต 3
เลาลี,ต.วาวี อ.แม่สรวย จ.เชียงราย 57180,เขตพื้นที่การศึกษาเชียงราย เขต 2
เด่นศาลา,ต.สันสลี อ.เวียงป่าเป้า จ.เชียงราย 57170,เขตพื้นที่การศึกษาเชียงราย เขต 2
เมืองน้อย(นิมมานเหมินทานุสรณ์),ต.แม่เจดีย์ใหม่ อ.เวียงป่าเป้า จ.เชียงราย 57260,เขตพื้นที่การศึกษาเชียงราย เขต 2
