ท้องคุ้ง,ต.คลองด่าน อ.บางบ่อ จ.สมุทรปราการ 10550,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
ท่าฉาง,ต.ยางหวาย อ.คอนสวรรค์ จ.ชัยภูมิ 36140,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
ท่าขามไร่เดื่อสามัคคี,ต.บ้านยาง อ.เกษตรสมบูรณ์ จ.ชัยภูมิ 36120,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
ท่าคร้อ,ต.หนองข่า อ.เกษตรสมบูรณ์ จ.ชัยภูมิ 36120,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
ทิกแล้ง,ต.หนองโพนงาม อ.เกษตรสมบูรณ์ จ.ชัยภูมิ 36120,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
ทิกแล้ง สาขาห้วยหินลับวิทยาสรรค์,ต.หนองโพนงาม อ.เกษตรสมบูรณ์ จ.ชัยภูมิ 36120,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
ท่าข่อย,ต.คูเมือง อ.หนองบัวแดง จ.ชัยภูมิ 36210,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
ทรัพย์เจริญ,ต.วังชมภู อ.หนองบัวแดง จ.ชัยภูมิ 36210,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
ทรัพย์เจริญ สาขาบ้านหลักแดน,ต.วังชมภู อ.หนองบัวแดง จ.ชัยภูมิ 36210,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
ท่าวังย่างควาย,ต.วังชมภู อ.หนองบัวแดง จ.ชัยภูมิ 36210,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
ทุ่งสว่างวัฒนา,ต.บ้านกอก อ.จัตุรัส จ.ชัยภูมิ 36130,เขตพื้นที่การศึกษาชัยภูมิ เขต 3
ท่าแตง,ต.กุดน้ำใส อ.จัตุรัส จ.ชัยภูมิ 36130,เขตพื้นที่การศึกษาชัยภูมิ เขต 3
ทามจาน,ต.หนองบัวโคก อ.จัตุรัส จ.ชัยภูมิ 36220,เขตพื้นที่การศึกษาชัยภูมิ เขต 3
ทองคำพิงวิทยา,ต.บ้านเพชร อ.บำเหน็จณรงค์ จ.ชัยภูมิ 36160,เขตพื้นที่การศึกษาชัยภูมิ เขต 3
ท่าโป่ง,ต.วังตะเฆ่ อ.หนองบัวระเหว จ.ชัยภูมิ 36250,เขตพื้นที่การศึกษาชัยภูมิ เขต 3
ท่าศิลา,ต.โสกปลาดุก อ.หนองบัวระเหว จ.ชัยภูมิ 36250,เขตพื้นที่การศึกษาชัยภูมิ เขต 3
ท่าทางเกวียน,ต.ท่ามะไฟหวาน อ.แก้งคร้อ จ.ชัยภูมิ 36150,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
ท่ามะไฟหวาน,ต.ท่ามะไฟหวาน อ.แก้งคร้อ จ.ชัยภูมิ 36150,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
ทุ่งคำหลวง,ต.ท่ามะไฟหวาน อ.แก้งคร้อ จ.ชัยภูมิ 36150,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
ท่าเริงรมย์,ต.ทุ่งพระ อ.คอนสาร จ.ชัยภูมิ 36180,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
ทุ่งพระ,ต.ทุ่งพระ อ.คอนสาร จ.ชัยภูมิ 36180,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
ทุ่งลุยลาย(กฟผ.อุปถัมภ์),ต.ทุ่งลุยลาย อ.คอนสาร จ.ชัยภูมิ 36180,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
ท่าศาลา,ต.ดงกลาง อ.คอนสาร จ.ชัยภูมิ 36180,เขตพื้นที่การศึกษาชัยภูมิ เขต 2
ท่ากูบ,ต.ท่ากูบ อ.ซับใหญ่ จ.ชัยภูมิ 36130,เขตพื้นที่การศึกษาชัยภูมิ เขต 3
ท่าชวน,ต.ท่ากูบ อ.ซับใหญ่ จ.ชัยภูมิ 36130,เขตพื้นที่การศึกษาชัยภูมิ เขต 3
ทุ่งสว่าง,ต.บุ่ง อ.เมืองอำนาจเจริญ จ.อำนาจเจริญ 37000,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
ทับเมย,ต.โนนหนามแท่ง อ.เมืองอำนาจเจริญ จ.อำนาจเจริญ 37000,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
ทวีผล,ต.นาหว้า อ.ปทุมราชวงศา จ.อำนาจเจริญ 37110,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
ท่ายางชุม,ต.คำพระ อ.หัวตะพาน จ.อำนาจเจริญ 37240,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
ทรายงาม,ต.นามะเฟือง อ.เมืองหนองบัวลำภู จ.หนองบัวลำภู 39000,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 1
ท่าอุทัย,ต.อุทัยสวรรค์ อ.นากลาง จ.หนองบัวลำภู 39170,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 2
ท่าลาด,ต.หนองเรือ อ.โนนสัง จ.หนองบัวลำภู 39140,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 1
ท่าศิลา,ต.บ้านค้อ อ.โนนสัง จ.หนองบัวลำภู 39140,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 1
ทุ่งโพธิ์นาอุดม,ต.โนนสะอาด อ.ศรีบุญเรือง จ.หนองบัวลำภู 39180,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 1
ทรายมูล,ต.ทรายทอง อ.ศรีบุญเรือง จ.หนองบัวลำภู 39180,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 1
ท่าพระเนาว์,ต.ท่าพระ อ.เมืองขอนแก่น จ.ขอนแก่น 40260,เขตพื้นที่การศึกษาขอนแก่น เขต 1
ทุ่ม(ทุ่มประชานุเคราะห์),ต.บ้านทุ่ม อ.เมืองขอนแก่น จ.ขอนแก่น 40000,เขตพื้นที่การศึกษาขอนแก่น เขต 1
ทองหลาง,ต.บ้านหว้า อ.เมืองขอนแก่น จ.ขอนแก่น 40000,เขตพื้นที่การศึกษาขอนแก่น เขต 1
ท่าศาลาคุรุราษฎร์วิทยา,ต.หนองเรือ อ.หนองเรือ จ.ขอนแก่น 40210,เขตพื้นที่การศึกษาขอนแก่น เขต 5
ท่าช้าง,ต.วังเพิ่ม อ.สีชมพู จ.ขอนแก่น 40220,เขตพื้นที่การศึกษาขอนแก่น เขต 5
ท่าช้างน้อยโนนสวัสดิ์,ต.บริบูรณ์ อ.สีชมพู จ.ขอนแก่น 40220,เขตพื้นที่การศึกษาขอนแก่น เขต 5
ทรายมูล,ต.ทรายมูล อ.น้ำพอง จ.ขอนแก่น 40140,เขตพื้นที่การศึกษาขอนแก่น เขต 4
ท่ากระเสริม,ต.ท่ากระเสริม อ.น้ำพอง จ.ขอนแก่น 40140,เขตพื้นที่การศึกษาขอนแก่น เขต 4
ท่าโพธิ์ท่ามะเดื่อน้อย,ต.ท่ากระเสริม อ.น้ำพอง จ.ขอนแก่น 40140,เขตพื้นที่การศึกษาขอนแก่น เขต 4
ท่ามะเดื่อ,ต.ท่ากระเสริม อ.น้ำพอง จ.ขอนแก่น 40140,เขตพื้นที่การศึกษาขอนแก่น เขต 4
ทรัพย์ภูพาน,ต.บ้านดง อ.อุบลรัตน์ จ.ขอนแก่น 40250,เขตพื้นที่การศึกษาขอนแก่น เขต 4
ทรัพย์สมบูรณ์โนนอินทร์แปลง,ต.ทุ่งโป่ง อ.อุบลรัตน์ จ.ขอนแก่น 40250,เขตพื้นที่การศึกษาขอนแก่น เขต 4
ทุ่งโป่ง,ต.ทุ่งโป่ง อ.อุบลรัตน์ จ.ขอนแก่น 40250,เขตพื้นที่การศึกษาขอนแก่น เขต 4
ทุ่งใหญ่,ต.บ้านฝาง อ.กระนวน จ.ขอนแก่น 40170,เขตพื้นที่การศึกษาขอนแก่น เขต 4
ท่าลาดคำตานา,ต.หัวนาคำ อ.กระนวน จ.ขอนแก่น 40170,เขตพื้นที่การศึกษาขอนแก่น เขต 4
ทุ่งมน,ต.บ้านไผ่ อ.บ้านไผ่ จ.ขอนแก่น 40110,เขตพื้นที่การศึกษาขอนแก่น เขต 2
ทางพาดหนองแวงโอง(ศรเสนานุสรณ์),ต.ในเมือง อ.บ้านไผ่ จ.ขอนแก่น 40110,เขตพื้นที่การศึกษาขอนแก่น เขต 2
ทับบา,ต.เมืองพล อ.พล จ.ขอนแก่น 40120,เขตพื้นที่การศึกษาขอนแก่น เขต 3
ทุ่งแค,ต.เพ็กใหญ่ อ.พล จ.ขอนแก่น 40120,เขตพื้นที่การศึกษาขอนแก่น เขต 3
ทุ่งน้อยหนองโจดหนองหอย,ต.ลอมคอม อ.พล จ.ขอนแก่น 40120,เขตพื้นที่การศึกษาขอนแก่น เขต 3
ท่านางแนว,ต.ท่านางแนว อ.แวงน้อย จ.ขอนแก่น 40230,เขตพื้นที่การศึกษาขอนแก่น เขต 3
ทางขวาง,ต.ทางขวาง อ.แวงน้อย จ.ขอนแก่น 40230,เขตพื้นที่การศึกษาขอนแก่น เขต 3
ท่าหนองหว้า,ต.หนองเม็ก อ.หนองสองห้อง จ.ขอนแก่น 40190,เขตพื้นที่การศึกษาขอนแก่น เขต 3
ทุ่งชมพู,ต.ทุ่งชมพู อ.ภูเวียง จ.ขอนแก่น 40150,เขตพื้นที่การศึกษาขอนแก่น เขต 5
ท่าศาลาประชาสรรค์,ต.ท่าศาลา อ.มัญจาคีรี จ.ขอนแก่น 40160,เขตพื้นที่การศึกษาขอนแก่น เขต 2
ท่าสวรรค์,ต.ท่าศาลา อ.มัญจาคีรี จ.ขอนแก่น 40160,เขตพื้นที่การศึกษาขอนแก่น เขต 2
ท่านางเลื่อน,ต.ชนบท อ.ชนบท จ.ขอนแก่น 40180,เขตพื้นที่การศึกษาขอนแก่น เขต 2
ทุ่มห้วย,ต.ห้วยแก อ.ชนบท จ.ขอนแก่น 40110,เขตพื้นที่การศึกษาขอนแก่น เขต 2
ท่าม่วง,ต.ศรีบุญเรือง อ.ชนบท จ.ขอนแก่น 40180,เขตพื้นที่การศึกษาขอนแก่น เขต 2
ทุ่งโพธิ์ชัย,ต.โนนสมบูรณ์ อ.เขาสวนกวาง จ.ขอนแก่น 40280,เขตพื้นที่การศึกษาขอนแก่น เขต 4
ทางพาดเขาสวนกวาง,ต.คำม่วง อ.เขาสวนกวาง จ.ขอนแก่น 40280,เขตพื้นที่การศึกษาขอนแก่น เขต 4
ทรัพย์สมบูรณ์,ต.ห้วยม่วง อ.ภูผาม่าน จ.ขอนแก่น 40350,เขตพื้นที่การศึกษาขอนแก่น เขต 5
ท่าตูมดงสระพัง,ต.กุดสระ อ.เมืองอุดรธานี จ.อุดรธานี 41000,เขตพื้นที่การศึกษาอุดรธานี เขต 1
ท่าม่วงเวียงคํา,ต.เวียงคำ อ.กุมภวาปี จ.อุดรธานี 41110,เขตพื้นที่การศึกษาอุดรธานี เขต 2
ท่าหนองเทา,ต.เวียงคำ อ.กุมภวาปี จ.อุดรธานี 41110,เขตพื้นที่การศึกษาอุดรธานี เขต 2
ทองอินทร์สวนมอญ,ต.เสอเพลอ อ.กุมภวาปี จ.อุดรธานี 41370,เขตพื้นที่การศึกษาอุดรธานี เขต 2
ท่าแร่,ต.ท่าลี่ อ.กุมภวาปี จ.อุดรธานี 41110,เขตพื้นที่การศึกษาอุดรธานี เขต 2
ท่าลี่ศรีสุข,ต.ท่าลี่ อ.กุมภวาปี จ.อุดรธานี 41110,เขตพื้นที่การศึกษาอุดรธานี เขต 2
ท่าเปลือย,ต.กุมภวาปี อ.กุมภวาปี จ.อุดรธานี 41110,เขตพื้นที่การศึกษาอุดรธานี เขต 2
ท่าสัง,ต.หนองหว้า อ.กุมภวาปี จ.อุดรธานี 41110,เขตพื้นที่การศึกษาอุดรธานี เขต 2
ทมนางาม,ต.ทมนางาม อ.โนนสะอาด จ.อุดรธานี 41240,เขตพื้นที่การศึกษาอุดรธานี เขต 2
ท่าช่วง,ต.ทุ่งฝน อ.ทุ่งฝน จ.อุดรธานี 41310,เขตพื้นที่การศึกษาอุดรธานี เขต 3
ทุ่งใหญ่,ต.ทุ่งใหญ่ อ.ทุ่งฝน จ.อุดรธานี 41310,เขตพื้นที่การศึกษาอุดรธานี เขต 3
ท่าลาด,ต.คำโคกสูง อ.วังสามหมอ จ.อุดรธานี 41280,เขตพื้นที่การศึกษาอุดรธานี เขต 2
ทรายมูล,ต.บ้านจันทน์ อ.บ้านดุง จ.อุดรธานี 41190,เขตพื้นที่การศึกษาอุดรธานี เขต 3
ทุ่ง,ต.บ้านชัย อ.บ้านดุง จ.อุดรธานี 41190,เขตพื้นที่การศึกษาอุดรธานี เขต 3
ท่าบ่อยาง,ต.นาไหม อ.บ้านดุง จ.อุดรธานี 41190,เขตพื้นที่การศึกษาอุดรธานี เขต 3
ทุ่งใหญ่โพธิ์ชัย,ต.ถ่อนนาลับ อ.บ้านดุง จ.อุดรธานี 41190,เขตพื้นที่การศึกษาอุดรธานี เขต 3
ท่าลี่,ต.บ้านหยวก อ.น้ำโสม จ.อุดรธานี 41210,เขตพื้นที่การศึกษาอุดรธานี เขต 4
ทุ่งทอง,ต.บ้านหยวก อ.น้ำโสม จ.อุดรธานี 41210,เขตพื้นที่การศึกษาอุดรธานี เขต 4
ท่าโสม,ต.ศรีสำราญ อ.น้ำโสม จ.อุดรธานี 41210,เขตพื้นที่การศึกษาอุดรธานี เขต 4
ท่าหนาดพัฒนา,ต.นาบัว อ.เพ็ญ จ.อุดรธานี 41150,เขตพื้นที่การศึกษาอุดรธานี เขต 1
ทอนดอนยาว,ต.สร้างแป้น อ.เพ็ญ จ.อุดรธานี 41150,เขตพื้นที่การศึกษาอุดรธานี เขต 1
ท่าเสียว,ต.สร้างคอม อ.สร้างคอม จ.อุดรธานี 41260,เขตพื้นที่การศึกษาอุดรธานี เขต 1
ทับไฮ,ต.แสงสว่าง อ.หนองแสง จ.อุดรธานี 41340,เขตพื้นที่การศึกษาอุดรธานี เขต 2
ท่ายม,ต.แสงสว่าง อ.หนองแสง จ.อุดรธานี 41340,เขตพื้นที่การศึกษาอุดรธานี เขต 2
ท่าสี,ต.แสงสว่าง อ.หนองแสง จ.อุดรธานี 41340,เขตพื้นที่การศึกษาอุดรธานี เขต 2
ท่าโปงทอง,ต.โนนทอง อ.นายูง จ.อุดรธานี 41380,เขตพื้นที่การศึกษาอุดรธานี เขต 4
ท่ามะนาว,ต.นาอ้อ อ.เมืองเลย จ.เลย 42100,เขตพื้นที่การศึกษาเลย เขต 1
ท่าเปิบ,ต.กกดู่ อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
ทรัพย์มงคล,ต.นาดินดำ อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
ท่าข้าม,ต.ชัยพฤกษ์ อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
ท่าบุ่ง,ต.ศรีสองรัก อ.เมืองเลย จ.เลย 42100,เขตพื้นที่การศึกษาเลย เขต 1
ท่าสวรรค์,ต.ท่าสวรรค์ อ.นาด้วง จ.เลย -,เขตพื้นที่การศึกษาเลย เขต 1
ท่าบม,ต.เขาแก้ว อ.เชียงคาน จ.เลย -,เขตพื้นที่การศึกษาเลย เขต 1
ท่าดีหมี,ต.ปากตม อ.เชียงคาน จ.เลย 42110,เขตพื้นที่การศึกษาเลย เขต 1
ทับกี่,ต.อิปุ่ม อ.ด่านซ้าย จ.เลย 42120,เขตพื้นที่การศึกษาเลย เขต 1
ทุ่งเทิง,ต.โป่ง อ.ด่านซ้าย จ.เลย 42120,เขตพื้นที่การศึกษาเลย เขต 1
ทุ่งน้ำใส,ต.โป่ง อ.ด่านซ้าย จ.เลย 42120,เขตพื้นที่การศึกษาเลย เขต 1
ท่อน,ต.ท่าศาลา อ.ภูเรือ จ.เลย 42160,เขตพื้นที่การศึกษาเลย เขต 1
ท่าศาลา,ต.ท่าศาลา อ.ภูเรือ จ.เลย 42160,เขตพื้นที่การศึกษาเลย เขต 1
ท่าลี่,ต.ท่าลี่ อ.ท่าลี่ จ.เลย 42140,เขตพื้นที่การศึกษาเลย เขต 1
ท่าทิศเฮืองกกเกลือ,ต.ปากปวน อ.วังสะพุง จ.เลย 42130,เขตพื้นที่การศึกษาเลย เขต 2
ทุ่งใหญ่,ต.ภูกระดึง อ.ภูกระดึง จ.เลย 42180,เขตพื้นที่การศึกษาเลย เขต 2
ทรัพย์เจริญ,ต.ห้วยสีเสียด อ.ภูหลวง จ.เลย 42230,เขตพื้นที่การศึกษาเลย เขต 2
ท่าช้างคล้องหนองอีเปี้ย,ต.ท่าช้างคล้อง อ.ผาขาว จ.เลย 42240,เขตพื้นที่การศึกษาเลย เขต 2
ท่าสำราญ,ต.น้ำโมง อ.ท่าบ่อ จ.หนองคาย 43110,เขตพื้นที่การศึกษาหนองคาย เขต 1
ทุ่มฝาง,ต.น้ำโมง อ.ท่าบ่อ จ.หนองคาย 43110,เขตพื้นที่การศึกษาหนองคาย เขต 1
ท่ามะเฟือง,ต.โพนสา อ.ท่าบ่อ จ.หนองคาย 43110,เขตพื้นที่การศึกษาหนองคาย เขต 1
ท่าไคร้,ต.บึงกาฬ อ.บึงกาฬ จ.หนองคาย 43140,เขตพื้นที่การศึกษาหนองคาย เขต 3
ท่าโพธิ์,ต.บึงกาฬ อ.บึงกาฬ จ.หนองคาย 43140,เขตพื้นที่การศึกษาหนองคาย เขต 3
ทองสาย,ต.โนนสมบูรณ์ อ.บึงกาฬ จ.หนองคาย 43140,เขตพื้นที่การศึกษาหนองคาย เขต 3
ท่าอินทร์แปลง,ต.โคกก่อง อ.บึงกาฬ จ.หนองคาย 43140,เขตพื้นที่การศึกษาหนองคาย เขต 3
ท่าศรีชมชื่น,ต.พรเจริญ อ.พรเจริญ จ.หนองคาย 43180,เขตพื้นที่การศึกษาหนองคาย เขต 3
ทุ่งธาตุท่าลี่ดอนกลางสามัคคี,ต.จุมพล อ.โพนพิสัย จ.หนองคาย 43120,เขตพื้นที่การศึกษาหนองคาย เขต 2
ทุ่งหลวง,ต.ทุ่งหลวง อ.โพนพิสัย จ.หนองคาย 43120,เขตพื้นที่การศึกษาหนองคาย เขต 2
ท่าหนองพันทา,ต.เซิม อ.โพนพิสัย จ.หนองคาย 43120,เขตพื้นที่การศึกษาหนองคาย เขต 2
ท่าสวาท,ต.โซ่ อ.โซ่พิสัย จ.หนองคาย 43170,เขตพื้นที่การศึกษาหนองคาย เขต 2
ท่าคำรวม,ต.บัวตูม อ.โซ่พิสัย จ.หนองคาย 43120,เขตพื้นที่การศึกษาหนองคาย เขต 2
ท่ากฐิน,ต.บ้านหม้อ อ.ศรีเชียงใหม่ จ.หนองคาย 43130,เขตพื้นที่การศึกษาหนองคาย เขต 1
ทรัพย์วังทอง,ต.เซกา อ.เซกา จ.หนองคาย 43150,เขตพื้นที่การศึกษาหนองคาย เขต 3
ท่าสำราญ,ต.ซาง อ.เซกา จ.หนองคาย 43150,เขตพื้นที่การศึกษาหนองคาย เขต 3
ท่ากกแดง,ต.ท่ากกแดง อ.เซกา จ.หนองคาย 43150,เขตพื้นที่การศึกษาหนองคาย เขต 3
ท่ากกต้อง,ต.ท่ากกแดง อ.เซกา จ.หนองคาย 43150,เขตพื้นที่การศึกษาหนองคาย เขต 3
ทุ่งทรายจก,ต.บ้านต้อง อ.เซกา จ.หนองคาย 43150,เขตพื้นที่การศึกษาหนองคาย เขต 3
ท่าเชียงเครือ,ต.ป่งไฮ อ.เซกา จ.หนองคาย 43150,เขตพื้นที่การศึกษาหนองคาย เขต 3
ท่าสวรรค์,ต.ป่งไฮ อ.เซกา จ.หนองคาย 43150,เขตพื้นที่การศึกษาหนองคาย เขต 3
ท่าสะอาด,ต.ท่าสะอาด อ.เซกา จ.หนองคาย 43150,เขตพื้นที่การศึกษาหนองคาย เขต 3
ท่าสีไค,ต.ดงบัง อ.บึงโขงหลง จ.หนองคาย 43220,เขตพื้นที่การศึกษาหนองคาย เขต 3
ท่าดอกคำ,ต.ท่าดอกคำ อ.บึงโขงหลง จ.หนองคาย 43220,เขตพื้นที่การศึกษาหนองคาย เขต 3
ท่าไร่ไทยเจริญ,ต.ท่าดอกคำ อ.บึงโขงหลง จ.หนองคาย 43220,เขตพื้นที่การศึกษาหนองคาย เขต 3
ท่าส้มโฮง,ต.โคกกว้าง อ.บุ่งคล้า จ.หนองคาย 43140,เขตพื้นที่การศึกษาหนองคาย เขต 3
ท่าคำบง,ต.วังหลวง อ.เฝ้าไร่ จ.หนองคาย 43120,เขตพื้นที่การศึกษาหนองคาย เขต 2
ท่าตูมดอนเรือ,ต.ท่าตูม อ.เมืองมหาสารคาม จ.มหาสารคาม 44000,เขตพื้นที่การศึกษามหาสารคาม เขต 1
ท่าปะทายโนนตูม,ต.เกิ้ง อ.เมืองมหาสารคาม จ.มหาสารคาม 44000,เขตพื้นที่การศึกษามหาสารคาม เขต 1
ท่าสองคอน,ต.ท่าสองคอน อ.เมืองมหาสารคาม จ.มหาสารคาม 44000,เขตพื้นที่การศึกษามหาสารคาม เขต 1
ทันดู่เหนือ,ต.หนองเหล็ก อ.โกสุมพิสัย จ.มหาสารคาม 44140,เขตพื้นที่การศึกษามหาสารคาม เขต 1
ท่าเดื่อ,ต.หนองบอน อ.โกสุมพิสัย จ.มหาสารคาม 44140,เขตพื้นที่การศึกษามหาสารคาม เขต 1
ทิพโสต,ต.ดอนกลาง อ.โกสุมพิสัย จ.มหาสารคาม 44140,เขตพื้นที่การศึกษามหาสารคาม เขต 1
ท่าขอนยาง,ต.ท่าขอนยาง อ.กันทรวิชัย จ.มหาสารคาม 44150,เขตพื้นที่การศึกษามหาสารคาม เขต 1
ทัน,ต.นาสีนวน อ.กันทรวิชัย จ.มหาสารคาม 44150,เขตพื้นที่การศึกษามหาสารคาม เขต 1
ทัพม้าดอนหันแวงวิทยา,ต.นาทอง อ.เชียงยืน จ.มหาสารคาม 44160,เขตพื้นที่การศึกษามหาสารคาม เขต 1
ท่ากระเสริม,ต.เสือเฒ่า อ.เชียงยืน จ.มหาสารคาม 44160,เขตพื้นที่การศึกษามหาสารคาม เขต 1
ทัพป่าจิก,ต.ราษฎร์เจริญ อ.พยัคฆภูมิพิสัย จ.มหาสารคาม 44110,เขตพื้นที่การศึกษามหาสารคาม เขต 2
ท่าลาดวารีวิทยา,ต.แสนสุข อ.พนมไพร จ.ร้อยเอ็ด 45140,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ท่าเสียว(กาญจนาอุปถัมภ์),ต.แสนสุข อ.พนมไพร จ.ร้อยเอ็ด 45140,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ท่าสำราญ,ต.สว่าง อ.โพนทอง จ.ร้อยเอ็ด 45110,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
ท่าเสียว,ต.สะอาด อ.โพธิ์ชัย จ.ร้อยเอ็ด 45230,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
ท่าไคร้,ต.กลาง อ.เสลภูมิ จ.ร้อยเอ็ด 45120,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
ทรายขาวหนองแป้นประชาสรรค์,ต.นาเมือง อ.เสลภูมิ จ.ร้อยเอ็ด 45120,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
ท่าเยี่ยม,ต.วังหลวง อ.เสลภูมิ จ.ร้อยเอ็ด 45120,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
ท่าม่วง,ต.ท่าม่วง อ.เสลภูมิ จ.ร้อยเอ็ด 45120,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
ทรายมูล,ต.ขวาว อ.เสลภูมิ จ.ร้อยเอ็ด 45120,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
ท่าสี,ต.เกาะแก้ว อ.เสลภูมิ จ.ร้อยเอ็ด 45120,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
ท่าลาดหนองผักตบ,ต.เหล่าน้อย อ.เสลภูมิ จ.ร้อยเอ็ด 45120,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 3
ท่าค้อ,ต.บ้านแจ้ง อ.อาจสามารถ จ.ร้อยเอ็ด 45160,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ทองหลาง,ต.หนองหมื่นถ่าน อ.อาจสามารถ จ.ร้อยเอ็ด 45160,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
ทรายทองวิทยาคม,ต.ทรายทอง อ.ห้วยเม็ก จ.กาฬสินธุ์,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 2
ท่างาม,ต.สำราญ อ.สามชัย จ.กาฬสินธุ์ 46180,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 1
ท่างาม สาขาบ้านดานเม็ก,ต.สำราญ อ.สามชัย จ.กาฬสินธุ์ 46180,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 1
ท่าม่วง,ต.หนองลาด อ.เมืองสกลนคร จ.สกลนคร 47220,เขตพื้นที่การศึกษาสกลนคร เขต 1
ท่าเยี่ยมน้ำพุง,ต.โนนหอม อ.เมืองสกลนคร จ.สกลนคร 47000,เขตพื้นที่การศึกษาสกลนคร เขต 1
ท่าวัด(คุรุราษฎร์บำรุงวิทย์),ต.เหล่าปอแดง อ.เมืองสกลนคร จ.สกลนคร 47000,เขตพื้นที่การศึกษาสกลนคร เขต 1
ทิดไทย,ต.ไร่ อ.พรรณานิคม จ.สกลนคร 47130,เขตพื้นที่การศึกษาสกลนคร เขต 2
ท่าสองคอน,ต.บะฮี อ.พรรณานิคม จ.สกลนคร 47130,เขตพื้นที่การศึกษาสกลนคร เขต 2
ท่าลาด,ต.ไฮหย่อง อ.พังโคน จ.สกลนคร 47160,เขตพื้นที่การศึกษาสกลนคร เขต 2
ทุ่งเชือก,ต.คำบ่อ อ.วาริชภูมิ จ.สกลนคร 47150,เขตพื้นที่การศึกษาสกลนคร เขต 2
ทุ่งโพธิ์,ต.หนองสนม อ.วานรนิวาส จ.สกลนคร 47120,เขตพื้นที่การศึกษาสกลนคร เขต 3
ท่าเยี่ยม,ต.ธาตุ อ.วานรนิวาส จ.สกลนคร 47120,เขตพื้นที่การศึกษาสกลนคร เขต 3
ท่าศรีไคล,ต.ธาตุ อ.วานรนิวาส จ.สกลนคร,เขตพื้นที่การศึกษาสกลนคร เขต 3
ท่างาม,ต.หนองบัวสิม อ.คำตากล้า จ.สกลนคร 47250,เขตพื้นที่การศึกษาสกลนคร เขต 3
ท่าช้าง,ต.ดงเหนือ อ.บ้านม่วง จ.สกลนคร 47140,เขตพื้นที่การศึกษาสกลนคร เขต 3
ท่าแร่,ต.โพนงาม อ.อากาศอำนวย จ.สกลนคร 47170,เขตพื้นที่การศึกษาสกลนคร เขต 3
ท่าก้อน,ต.ท่าก้อน อ.อากาศอำนวย จ.สกลนคร 47170,เขตพื้นที่การศึกษาสกลนคร เขต 3
ท่าควาย,ต.ท่าก้อน อ.อากาศอำนวย จ.สกลนคร 47170,เขตพื้นที่การศึกษาสกลนคร เขต 3
ท่าสะอาด(สวรรค์คงคา),ต.โคกสี อ.สว่างแดนดิน จ.สกลนคร 47110,เขตพื้นที่การศึกษาสกลนคร เขต 2
ทุ่งปลากัด,ต.บ้านถ่อน อ.สว่างแดนดิน จ.สกลนคร 47110,เขตพื้นที่การศึกษาสกลนคร เขต 2
ทันสมัย,ต.ส่องดาว อ.ส่องดาว จ.สกลนคร 47190,เขตพื้นที่การศึกษาสกลนคร เขต 2
