ใหม่(ศรีอินทร์พงษ์วิทยาคาร),ต.บ้านใหม่ อ.บางใหญ่ จ.นนทบุรี 11140,เขตพื้นที่การศึกษานนทบุรี เขต 2
ใหม่,ต.เมืองงาย อ.เชียงดาว จ.เชียงใหม่ 50170,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
ใหม่,ต.ช่อแล อ.แม่แตง จ.เชียงใหม่ 50150,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
ใบหนา,ต.นาเกียน อ.อมก๋อย จ.เชียงใหม่ 50310,เขตพื้นที่การศึกษาเชียงใหม่ เขต 5
ใหม่หนองบัว,ต.หนองบัว อ.ไชยปราการ จ.เชียงใหม่ 50320,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
ใหม่ปางเติม,ต.บ้านกาด อ.แม่วาง จ.เชียงใหม่ 50360,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
ใหม่สวรรค์,ต.ดอนเปา อ.แม่วาง จ.เชียงใหม่ 50360,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
ใหม่หนองหอย,ต.สันติสุข อ.ดอยหล่อ จ.เชียงใหม่ 50160,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
ใหม่รัตนโกสินทร์,ต.นาสัก อ.แม่เมาะ จ.ลำปาง 52220,เขตพื้นที่การศึกษาลำปาง เขต 1
ใหม่สบปุง,ต.ท่าผา อ.เกาะคา จ.ลำปาง 52130,เขตพื้นที่การศึกษาลำปาง เขต 2
ใหม่,ต.บ้านโป่ง อ.งาว จ.ลำปาง 52110,เขตพื้นที่การศึกษาลำปาง เขต 1
ใหม่สามัคคี,ต.แม่สุก อ.แจ้ห่ม จ.ลำปาง 52120,เขตพื้นที่การศึกษาลำปาง เขต 3
ใหม่ผ้าขาว,ต.วิเชตนคร อ.แจ้ห่ม จ.ลำปาง 52120,เขตพื้นที่การศึกษาลำปาง เขต 3
ใหม่เหล่ายาว,ต.วิเชตนคร อ.แจ้ห่ม จ.ลำปาง 52120,เขตพื้นที่การศึกษาลำปาง เขต 3
ใหม่,ต.ดอนไฟ อ.แม่ทะ จ.ลำปาง 52150,เขตพื้นที่การศึกษาลำปาง เขต 2
ใหม่พัฒนา,ต.แจ้ซ้อน อ.เมืองปาน จ.ลำปาง 52240,เขตพื้นที่การศึกษาลำปาง เขต 3
ใหม่(เยาวชนประชาสงเคราะห์),ต.วังแดง อ.ตรอน จ.อุตรดิตถ์ 53140,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
ใหม่,ต.บ้านฝาย อ.น้ำปาด จ.อุตรดิตถ์ 53110,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 2
ในเมือง,ต.ในเมือง อ.พิชัย จ.อุตรดิตถ์ 53120,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
ในเวียง,ต.ในเวียง อ.เมืองแพร่ จ.แพร่ 54000,เขตพื้นที่การศึกษาแพร่ เขต 1
ใน(อินทราษฎร์บำรุง),ต.ช่อแฮ อ.เมืองแพร่ จ.แพร่ 54000,เขตพื้นที่การศึกษาแพร่ เขต 1
ใหม่จัดสรร,ต.ร้องเข็ม อ.ร้องกวาง จ.แพร่ 54140,เขตพื้นที่การศึกษาแพร่ เขต 1
ใหม่(สมบัติทวีประชาสรรค์),ต.วังชิ้น อ.วังชิ้น จ.แพร่ 54160,เขตพื้นที่การศึกษาแพร่ เขต 2
ใหม่,ต.ศรีษะเกษ อ.นาน้อย จ.น่าน 55150,เขตพื้นที่การศึกษาน่าน เขต 1
ใหม่,ต.เชียงคาน อ.เชียงกลาง จ.น่าน 55160,เขตพื้นที่การศึกษาน่าน เขต 2
ใหม่,ต.บ้านใหม่ อ.เมืองพะเยา จ.พะเยา 56000,เขตพื้นที่การศึกษาพะเยา เขต 1
ใหม่ร่มเย็น,ต.ร่มเย็น อ.เชียงคำ จ.พะเยา 56110,เขตพื้นที่การศึกษาพะเยา เขต 2
ใหม่,ต.หนองหล่ม อ.ดอกคำใต้ จ.พะเยา 56120,เขตพื้นที่การศึกษาพะเยา เขต 1
ใหม่พัฒนา,ต.ควร อ.ปง จ.พะเยา 56140,เขตพื้นที่การศึกษาพะเยา เขต 2
ใหม่น้ำเงิน,ต.งิม อ.ปง จ.พะเยา 56140,เขตพื้นที่การศึกษาพะเยา เขต 2
ใหม่ปางค่า (ภูลังกาอนุสรณ์),ต.ผาช้างน้อย อ.ปง จ.พะเยา 56140,เขตพื้นที่การศึกษาพะเยา เขต 2
ใหม่ปางค่า (ภูลังกาอนุสรณ์) สาขาบ้านห้วยกอก,ต.ผาช้างน้อย อ.ปง จ.พะเยา 56140,เขตพื้นที่การศึกษาพะเยา เขต 2
ใหม่ปางค่า (ภูลังกาอนุสรณ์) สาขาบ้านห้วยเฟือง,ต.ผาช้างน้อย อ.ปง จ.พะเยา 56140,เขตพื้นที่การศึกษาพะเยา เขต 2
ใหม่,ต.ริมกก อ.เมืองเชียงราย จ.เชียงราย 57100,เขตพื้นที่การศึกษาเชียงราย เขต 1
ใหม่,ต.เวียง อ.เทิง จ.เชียงราย 57160,เขตพื้นที่การศึกษาเชียงราย เขต 4
ใหม่ท่าต้นเกี๋ยง,ต.สันมะเค็ด อ.พาน จ.เชียงราย 57120,เขตพื้นที่การศึกษาเชียงราย เขต 2
ใหม่ใต้,ต.ป่าแดด อ.ป่าแดด จ.เชียงราย 57190,เขตพื้นที่การศึกษาเชียงราย เขต 2
ใหม่พัฒนา,ต.ป่าแงะ อ.ป่าแดด จ.เชียงราย 57000,เขตพื้นที่การศึกษาเชียงราย เขต 2
ใหม่(ประกอบราษฎร์วิทยานุกูล),ต.จันจว้า อ.แม่จัน จ.เชียงราย 57270,เขตพื้นที่การศึกษาเชียงราย เขต 3
ใหม่สามัคคี,ต.ป่าซาง อ.แม่จัน จ.เชียงราย 57110,เขตพื้นที่การศึกษาเชียงราย เขต 3
ใหม่โชคชัย,ต.ตาดควัน อ.พญาเม็งราย จ.เชียงราย 57290,เขตพื้นที่การศึกษาเชียงราย เขต 4
ใหม่สุขสันต์,ต.ตาดควัน อ.พญาเม็งราย จ.เชียงราย 57290,เขตพื้นที่การศึกษาเชียงราย เขต 4
ใหม่สุขสันต์สาขาบ้านมูเซอ,ต.ตาดควัน อ.พญาเม็งราย จ.เชียงราย 57290,เขตพื้นที่การศึกษาเชียงราย เขต 4
ใหม่สันติ,ต.แม่สลองนอก อ.แม่ฟ้าหลวง จ.เชียงราย 57110,เขตพื้นที่การศึกษาเชียงราย เขต 3
ใหม่พัฒนา,ต.หนองป่าก่อ อ.ดอยหลวง จ.เชียงราย 57110,เขตพื้นที่การศึกษาเชียงราย เขต 3
ในสอย,ต.ปางหมู อ.เมืองแม่ฮ่องสอน จ.แม่ฮ่องสอน 58000,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 1
ใหม่,ต.ปางหมู อ.เมืองแม่ฮ่องสอน จ.แม่ฮ่องสอน 58000,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 1
ใหม่สหสัมพันธ์,ต.เวียงใต้ อ.ปาย จ.แม่ฮ่องสอน 58130,เขตพื้นที่การศึกษาแม่ฮ่องสอน เขต 1
ใหม่(ราษฎร์บูรณะ),ต.หนองกรด อ.บรรพตพิสัย จ.นครสวรรค์ 60180,เขตพื้นที่การศึกษานครสวรรค์ เขต 2
ใหม่วารีเย็น,ต.ไพศาลี อ.ไพศาลี จ.นครสวรรค์ 60220,เขตพื้นที่การศึกษานครสวรรค์ เขต 3
ใหม่ศึกษา,ต.สระทะเล อ.พยุหะคีรี จ.นครสวรรค์ 60130,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
ใหม่สามัคคี,ต.หนองพิกุล อ.ตากฟ้า จ.นครสวรรค์ 60190,เขตพื้นที่การศึกษานครสวรรค์ เขต 3
ใหม่ศรีนคร,ต.แม่เล่ย์ อ.แม่วงก์ จ.นครสวรรค์ 60150,เขตพื้นที่การศึกษานครสวรรค์ เขต 2
ใหม่หนองแก,ต.ทัพหลวง อ.บ้านไร่ จ.อุทัยธานี 61140,เขตพื้นที่การศึกษาอุทัยธานี เขต 2
ใหม่คลองอังวะ,ต.แก่นมะกรูด อ.บ้านไร่ จ.อุทัยธานี 61140,เขตพื้นที่การศึกษาอุทัยธานี เขต 2
ใหม่คลองเคียน,ต.บ้านใหม่คลองเคียน อ.บ้านไร่ จ.อุทัยธานี 61180,เขตพื้นที่การศึกษาอุทัยธานี เขต 2
ใหม่ร่มเย็น,ต.เจ้าวัด อ.บ้านไร่ จ.อุทัยธานี 61140,เขตพื้นที่การศึกษาอุทัยธานี เขต 1
ใหม่สามัคคี,ต.คณฑี อ.เมืองกำแพงเพชร จ.กำแพงเพชร 62000,เขตพื้นที่การศึกษากำแพงเพชร เขต 1
ใหม่สามัคคี,ต.หนองทอง อ.ไทรงาม จ.กำแพงเพชร 62150,เขตพื้นที่การศึกษากำแพงเพชร เขต 1
ใหม่เจริญสุข สาขาบ้านคลองปิ่นโตประชาสามัคคี,ต.คลองน้ำไหล อ.คลองลาน จ.กำแพงเพชร 62190,เขตพื้นที่การศึกษากำแพงเพชร เขต 2
ใหม่เจริญสุข,ต.คลองน้ำไหล อ.คลองลาน จ.กำแพงเพชร 62180,เขตพื้นที่การศึกษากำแพงเพชร เขต 2
ใหม่ธงชัย,ต.คลองลานพัฒนา อ.คลองลาน จ.กำแพงเพชร 62180,เขตพื้นที่การศึกษากำแพงเพชร เขต 2
ใหม่หนองยาง,ต.บ่อถ้ำ อ.ขาณุวรลักษบุรี จ.กำแพงเพชร 62140,เขตพื้นที่การศึกษากำแพงเพชร เขต 2
ใหม่เขานิยม,ต.พรานกระต่าย อ.พรานกระต่าย จ.กำแพงเพชร 62110,เขตพื้นที่การศึกษากำแพงเพชร เขต 1
ใหม่สามัคคี,ต.หนองหลวง อ.ลานกระบือ จ.กำแพงเพชร 62170,เขตพื้นที่การศึกษากำแพงเพชร เขต 1
ใหม่พัฒนา,ต.เพชรชมภู อ.โกสัมพีนคร จ.กำแพงเพชร 62000,เขตพื้นที่การศึกษากำแพงเพชร เขต 1
ใหม่,ต.ท้องฟ้า อ.บ้านตาก จ.ตาก 63000,เขตพื้นที่การศึกษาตาก เขต 1
ใหม่สามัคคี,ต.ยกกระบัตร อ.สามเงา จ.ตาก 63130,เขตพื้นที่การศึกษาตาก เขต 1
ใหม่เสรีธรรม,ต.เชียงทอง อ.วังเจ้า จ.ตาก 63000,เขตพื้นที่การศึกษาตาก เขต 1
ใหม่เจริญผลพิทยาคม,ต.ศรีคีรีมาศ อ.คีรีมาศ จ.สุโขทัย 64160,เขตพื้นที่การศึกษาสุโขทัย เขต 1
ใหม่เจริญผล,ต.หนองจิก อ.คีรีมาศ จ.สุโขทัย 64160,เขตพื้นที่การศึกษาสุโขทัย เขต 1
ใหม่โพธิ์ทอง,ต.บ้านใหม่สุขเกษม อ.กงไกรลาศ จ.สุโขทัย 64170,เขตพื้นที่การศึกษาสุโขทัย เขต 1
ใหม่สุขเกษม,ต.บ้านใหม่สุขเกษม อ.กงไกรลาศ จ.สุโขทัย 64170,เขตพื้นที่การศึกษาสุโขทัย เขต 1
ใหม่(ราษฎร์สามัคคี),ต.หาดเสี้ยว อ.ศรีสัชนาลัย จ.สุโขทัย 64130,เขตพื้นที่การศึกษาสุโขทัย เขต 2
ใหม่โพธิ์งาม,ต.ป่ากุมเกาะ อ.สวรรคโลก จ.สุโขทัย 64110,เขตพื้นที่การศึกษาสุโขทัย เขต 2
ใหม่คลองเจริญ,ต.หนองกุลา อ.บางระกำ จ.พิษณุโลก 65140,เขตพื้นที่การศึกษาพิษณุโลก เขต 1
ใหม่เจริญธรรม,ต.นิคมพัฒนา อ.บางระกำ จ.พิษณุโลก 65140,เขตพื้นที่การศึกษาพิษณุโลก เขต 1
ใหม่ไพรมณี มิตรภาพ 118,ต.เนินกุ่ม อ.บางกระทุ่ม จ.พิษณุโลก 65210,เขตพื้นที่การศึกษาพิษณุโลก เขต 2
ใหม่ชัยเจริญ,ต.บ้านกลาง อ.วังทอง จ.พิษณุโลก 65220,เขตพื้นที่การศึกษาพิษณุโลก เขต 2
ใหม่พนมทอง,ต.บ้านกลาง อ.วังทอง จ.พิษณุโลก 65220,เขตพื้นที่การศึกษาพิษณุโลก เขต 2
ใหม่สามัคคี,ต.บ้านมุง อ.เนินมะปราง จ.พิษณุโลก 65190,เขตพื้นที่การศึกษาพิษณุโลก เขต 2
ใหม่ทองประเสริฐ,ต.เนินมะปราง อ.เนินมะปราง จ.พิษณุโลก 65190,เขตพื้นที่การศึกษาพิษณุโลก เขต 2
ใหม่เนินสวรรค์,ต.หนองปลาไหล อ.วังทรายพูน จ.พิจิตร 66180,เขตพื้นที่การศึกษาพิจิตร เขต 1
