ไผ่หมูขวิด,ต.ยี่ล้น อ.วิเศษชัยชาญ จ.อ่างทอง 14110,เขตพื้นที่การศึกษาอ่างทอง เขต 1
ไร่ป่าไม้แดงวิทยา,ต.ลุ่มลำชี อ.บ้านเขว้า จ.ชัยภูมิ 36170,เขตพื้นที่การศึกษาชัยภูมิ เขต 1
ไร่พัฒนา,ต.บ้านไร่ อ.เทพสถิต จ.ชัยภูมิ 36230,เขตพื้นที่การศึกษาชัยภูมิ เขต 3
ไทรงาม,ต.โป่งนก อ.เทพสถิต จ.ชัยภูมิ 36230,เขตพื้นที่การศึกษาชัยภูมิ เขต 3
ไก่คำ,ต.ไก่คำ อ.เมืองอำนาจเจริญ จ.อำนาจเจริญ 37000,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
ไร่สมบูรณ์,ต.ไก่คำ อ.เมืองอำนาจเจริญ จ.อำนาจเจริญ 37000,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
ไม้กลอนดอนหวาย,ต.ไม้กลอน อ.พนา จ.อำนาจเจริญ 37180,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
ไร่ขี,ต.ไร่ขี อ.ลืออำนาจ จ.อำนาจเจริญ 37000,เขตพื้นที่การศึกษาอำนาจเจริญ เขต 1
ไทยนิยม,ต.วังทอง อ.นาวัง จ.หนองบัวลำภู 39170,เขตพื้นที่การศึกษาหนองบัวลำภู เขต 2
ไก่นา,ต.สำราญ อ.เมืองขอนแก่น จ.ขอนแก่น 40000,เขตพื้นที่การศึกษาขอนแก่น เขต 1
ไชยสอ,ต.ไชยสอ อ.ชุมแพ จ.ขอนแก่น 40130,เขตพื้นที่การศึกษาขอนแก่น เขต 5
ไผ่กุดหิน,ต.ไชยสอ อ.ชุมแพ จ.ขอนแก่น 40130,เขตพื้นที่การศึกษาขอนแก่น เขต 5
ไผ่,ต.ในเมือง อ.บ้านไผ่ จ.ขอนแก่น 40110,เขตพื้นที่การศึกษาขอนแก่น เขต 2
ไผ่ประถมศึกษา,ต.ในเมือง อ.บ้านไผ่ จ.ขอนแก่น 40110,เขตพื้นที่การศึกษาขอนแก่น เขต 2
ไผ่แสงทองประชาสรรค์,ต.บ้านไผ่ อ.บ้านไผ่ จ.ขอนแก่น 40110,เขตพื้นที่การศึกษาขอนแก่น เขต 2
