บวรนิเวศ,แขวงบวรนิเวศ เขตพระนคร กรุงเทพมหานคร 10200,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
บางเตย,ต.บางเตย อ.บ้านสร้าง จ.ปราจีนบุรี 25150,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
บ้านโนน,ต.ดงบัง อ.ประจันตคาม จ.ปราจีนบุรี 25130,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
บุฝ้าย,ต.บุฝ้าย อ.ประจันตคาม จ.ปราจีนบุรี 25130,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
บุยายใบ,ต.ท่าตูม อ.ศรีมหาโพธิ จ.ปราจีนบุรี 25140,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
บุพพาราม,ต.บางกุ้ง อ.ศรีมหาโพธิ จ.ปราจีนบุรี 25140,เขตพื้นที่การศึกษาปราจีนบุรี เขต 1
บางปรัง,ต.ศรีจุฬา อ.เมืองนครนายก จ.นครนายก 26000,เขตพื้นที่การศึกษานครนายก เขต 1
บางหอย,ต.ศรีจุฬา อ.เมืองนครนายก จ.นครนายก 26000,เขตพื้นที่การศึกษานครนายก เขต 1
บ้านพริก,ต.บ้านพริก อ.บ้านนา จ.นครนายก 26110,เขตพื้นที่การศึกษานครนายก เขต 1
บางนางเล็ก,ต.บางลูกเสือ อ.องครักษ์ จ.นครนายก 26160,เขตพื้นที่การศึกษานครนายก เขต 1
บ้านหนองบัวศาลา,ต.หนองบัวศาลา อ.เมืองนครราชสีมา จ.นครราชสีมา 30000,เขตพื้นที่การศึกษานครราชสีมา เขต 1
บ้านหนองกก,ต.โนนเต็ง อ.คง จ.นครราชสีมา 30260,เขตพื้นที่การศึกษานครราชสีมา เขต 6
บ้านด่านนอก(เสรีธรรมวิทยา),ต.ด่านนอก อ.ด่านขุนทด จ.นครราชสีมา 30210,เขตพื้นที่การศึกษานครราชสีมา เขต 5
บ้านกลาง,ต.บ้านเก่า อ.ด่านขุนทด จ.นครราชสีมา 30210,เขตพื้นที่การศึกษานครราชสีมา เขต 5
บ้านด่านคนคบ,ต.ด่านคล้า อ.โนนสูง จ.นครราชสีมา 30160,เขตพื้นที่การศึกษานครราชสีมา เขต 1
บ้านหนองตะไก้,ต.บัวใหญ่ อ.บัวใหญ่ จ.นครราชสีมา 30120,เขตพื้นที่การศึกษานครราชสีมา เขต 6
บ้านเก่างิ้ว,ต.ห้วยยาง อ.บัวใหญ่ จ.นครราชสีมา 30120,เขตพื้นที่การศึกษานครราชสีมา เขต 6
บ้านหนองหญ้าปล้อง,ต.ห้วยยาง อ.บัวใหญ่ จ.นครราชสีมา 30120,เขตพื้นที่การศึกษานครราชสีมา เขต 6
บ้านหนองหัวช้าง,ต.เสมาใหญ่ อ.บัวใหญ่ จ.นครราชสีมา 30120,เขตพื้นที่การศึกษานครราชสีมา เขต 6
บ้านกระเบื้อง,ต.ดอนตะหนิน อ.บัวใหญ่ จ.นครราชสีมา 30120,เขตพื้นที่การศึกษานครราชสีมา เขต 6
บ้านดอนชุมช้าง,ต.โนนทองหลาง อ.บัวใหญ่ จ.นครราชสีมา 30120,เขตพื้นที่การศึกษานครราชสีมา เขต 6
บ้านไร่,ต.โนนทองหลาง อ.บัวใหญ่ จ.นครราชสีมา 30120,เขตพื้นที่การศึกษานครราชสีมา เขต 6
บ้านหนองแวง,ต.โนนทองหลาง อ.บัวใหญ่ จ.นครราชสีมา 30120,เขตพื้นที่การศึกษานครราชสีมา เขต 6
บ้านงิ้ว,ต.กุดจอก อ.บัวใหญ่ จ.นครราชสีมา 30120,เขตพื้นที่การศึกษานครราชสีมา เขต 6
บ้านหนองไข่ผำ,ต.หนองแจ้งใหญ่ อ.บัวใหญ่ จ.นครราชสีมา 30120,เขตพื้นที่การศึกษานครราชสีมา เขต 6
บ้านถนนโพธิ์,ต.ประทาย อ.ประทาย จ.นครราชสีมา 30180,เขตพื้นที่การศึกษานครราชสีมา เขต 7
บ้านนางิ้ว,ต.ประทาย อ.ประทาย จ.นครราชสีมา 30180,เขตพื้นที่การศึกษานครราชสีมา เขต 7
บ้านดอนตะหนิน,ต.กระทุ่มราย อ.ประทาย จ.นครราชสีมา 30180,เขตพื้นที่การศึกษานครราชสีมา เขต 7
บ้านสี่เหลี่ยม,ต.กระทุ่มราย อ.ประทาย จ.นครราชสีมา 30180,เขตพื้นที่การศึกษานครราชสีมา เขต 7
บ้านหนองเดิ่น,ต.กระทุ่มราย อ.ประทาย จ.นครราชสีมา 30180,เขตพื้นที่การศึกษานครราชสีมา เขต 7
บ้านโคกพระ,ต.วังไม้แดง อ.ประทาย จ.นครราชสีมา 30180,เขตพื้นที่การศึกษานครราชสีมา เขต 7
บ้านโคกสีโนนรัง,ต.วังไม้แดง อ.ประทาย จ.นครราชสีมา 30180,เขตพื้นที่การศึกษานครราชสีมา เขต 7
บ้านอุ่มจานโนนงิ้ว,ต.วังไม้แดง อ.ประทาย จ.นครราชสีมา 30180,เขตพื้นที่การศึกษานครราชสีมา เขต 7
บ้านหนองกก,ต.ตลาดไทร อ.ประทาย จ.นครราชสีมา 30180,เขตพื้นที่การศึกษานครราชสีมา เขต 7
บ้านหนองขาม,ต.หนองพลวง อ.ประทาย จ.นครราชสีมา 30180,เขตพื้นที่การศึกษานครราชสีมา เขต 7
บ้านหนองคึม,ต.หนองพลวง อ.ประทาย จ.นครราชสีมา 30180,เขตพื้นที่การศึกษานครราชสีมา เขต 7
บ้านโคกเพ็ด,ต.หนองค่าย อ.ประทาย จ.นครราชสีมา 30180,เขตพื้นที่การศึกษานครราชสีมา เขต 7
บ้านตำแย,ต.หนองค่าย อ.ประทาย จ.นครราชสีมา 30180,เขตพื้นที่การศึกษานครราชสีมา เขต 7
บ้านหนองสะแบง,ต.นางรำ อ.ประทาย จ.นครราชสีมา 30180,เขตพื้นที่การศึกษานครราชสีมา เขต 7
บ้านขี้เหล็ก,ต.ทุ่งสว่าง อ.ประทาย จ.นครราชสีมา 30180,เขตพื้นที่การศึกษานครราชสีมา เขต 7
บ้านทุ่งสว่าง,ต.ทุ่งสว่าง อ.ประทาย จ.นครราชสีมา 30180,เขตพื้นที่การศึกษานครราชสีมา เขต 7
บ้านหนองคู,ต.เมืองโดน อ.ประทาย จ.นครราชสีมา 30180,เขตพื้นที่การศึกษานครราชสีมา เขต 7
บ้านพร้าว,ต.ดอน อ.ปักธงชัย จ.นครราชสีมา 30150,เขตพื้นที่การศึกษานครราชสีมา เขต 3
บ้านส่อง,ต.ดอน อ.ปักธงชัย จ.นครราชสีมา 30150,เขตพื้นที่การศึกษานครราชสีมา เขต 3
บันไดม้า,ต.ปากช่อง อ.ปากช่อง จ.นครราชสีมา 30130,เขตพื้นที่การศึกษานครราชสีมา เขต 4
บ้านตะเภาหนุน,ต.โนนแดง อ.โนนแดง จ.นครราชสีมา 30360,เขตพื้นที่การศึกษานครราชสีมา เขต 7
บ้านโคกหนองแวง,ต.โนนตาเถร อ.โนนแดง จ.นครราชสีมา 30360,เขตพื้นที่การศึกษานครราชสีมา เขต 7
บ้านทุ่งรี,ต.วังหิน อ.โนนแดง จ.นครราชสีมา 30360,เขตพื้นที่การศึกษานครราชสีมา เขต 7
บ้านหินตั้ง,ต.วังหิน อ.โนนแดง จ.นครราชสีมา 30360,เขตพื้นที่การศึกษานครราชสีมา เขต 7
บ้านศาลาดิน,ต.โนนจาน อ.บัวลาย จ.นครราชสีมา 30120,เขตพื้นที่การศึกษานครราชสีมา เขต 6
บ้านดอนโก่ย,ต.สีดา อ.สีดา จ.นครราชสีมา 30430,เขตพื้นที่การศึกษานครราชสีมา เขต 6
บ้านสีดา,ต.สีดา อ.สีดา จ.นครราชสีมา 30430,เขตพื้นที่การศึกษานครราชสีมา เขต 6
บ้านมะค่า,ต.โพนทอง อ.สีดา จ.นครราชสีมา 30430,เขตพื้นที่การศึกษานครราชสีมา เขต 6
บ้านโนนประดู่,ต.โนนประดู่ อ.สีดา จ.นครราชสีมา 30430,เขตพื้นที่การศึกษานครราชสีมา เขต 6
บ้านโนนกอก,ต.สามเมือง อ.สีดา จ.นครราชสีมา 30430,เขตพื้นที่การศึกษานครราชสีมา เขต 6
บ้านสามเมือง,ต.สามเมือง อ.สีดา จ.นครราชสีมา 30430,เขตพื้นที่การศึกษานครราชสีมา เขต 6
บ้านดอนเต็ง,ต.หนองตาดใหญ่ อ.สีดา จ.นครราชสีมา 30430,เขตพื้นที่การศึกษานครราชสีมา เขต 6
บ้านเมืองสูง,ต.หนองตาดใหญ่ อ.สีดา จ.นครราชสีมา 30430,เขตพื้นที่การศึกษานครราชสีมา เขต 6
บ้านเย้ยสะแก,ต.เสม็ด อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
บ้านสะแกซำ,ต.เสม็ด อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
บ้านถลุงเหล็ก,ต.ถลุงเหล็ก อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
บ้านบัลลังก์,ต.หนองตาด อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
บ้านหนองตลุมปุ๊ก,ต.ลุมปุ๊ก อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
บ้านรุน,ต.บัวทอง อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
บ้านสวายสอ,ต.บัวทอง อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
บ้านเสม็ด,ต.กลันทา อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
บ้านเมืองดู่,ต.เมืองฝาง อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
บ้านเมืองฝาง,ต.เมืองฝาง อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
บ้านปะเคียบ,ต.ปะเคียบ อ.คูเมือง จ.บุรีรัมย์ 31190,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
บ้านเบาน้อย,ต.บ้านแพ อ.คูเมือง จ.บุรีรัมย์ 31190,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
บัวทอง,ต.พรสำราญ อ.คูเมือง จ.บุรีรัมย์ 31190,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
บ้านโนนมาลัย,ต.หินเหล็กไฟ อ.คูเมือง จ.บุรีรัมย์ 31190,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
บ้านสำราญราษฎร์,ต.ตูมใหญ่ อ.คูเมือง จ.บุรีรัมย์ 31190,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
บ้านหนองแขม,ต.กระสัง อ.กระสัง จ.บุรีรัมย์ 31160,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
บ้านหนองพลวง,ต.ลำดวน อ.กระสัง จ.บุรีรัมย์ 31160,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
บ้านจอม,ต.สองชั้น อ.กระสัง จ.บุรีรัมย์ 31160,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
บ้านปราสาท,ต.สูงเนิน อ.กระสัง จ.บุรีรัมย์ 31160,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
บ้านชุมแสง,ต.ชุมแสง อ.กระสัง จ.บุรีรัมย์ 31160,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
บ้านกันทรารมย์,ต.กันทรารมย์ อ.กระสัง จ.บุรีรัมย์ 31160,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
บ้านไทร (เสคุรุราษฏร์อนุสรณ์),ต.บ้านไทร อ.ประโคนชัย จ.บุรีรัมย์ 31140,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
บ้านไพบูลย์,ต.บ้านไทร อ.ประโคนชัย จ.บุรีรัมย์ 31140,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
บ้านเมืองต่ำ,ต.จรเข้มาก อ.ประโคนชัย จ.บุรีรัมย์ 31140,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
บ้านตะโกตาพิ,ต.ตะโกตาพิ อ.ประโคนชัย จ.บุรีรัมย์ 31140,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
บ้านยาง (ช้อยคุรุราษฏร์บำรุง),ต.หนองบอน อ.ประโคนชัย จ.บุรีรัมย์ 31140,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
บ้านปะทัดบุ,ต.ประทัดบุ อ.ประโคนชัย จ.บุรีรัมย์,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
บ้านบุขี้เหล็ก,ต.แสลงพัน อ.ลำปลายมาศ จ.บุรีรัมย์ 31130,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
บ้านหนองกะทิง,ต.หนองกะทิง อ.ลำปลายมาศ จ.บุรีรัมย์ 31130,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
บ้านหนองปลาไหล,ต.หนองกะทิง อ.ลำปลายมาศ จ.บุรีรัมย์ 31130,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
บ้านหินโคน(คุรุราษฏร์บำรุง),ต.หินโคน อ.ลำปลายมาศ จ.บุรีรัมย์ 31130,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
บ้านตะขบ(โนนตะครองโคกใหม่วิทยา),ต.หินโคน อ.ลำปลายมาศ จ.บุรีรัมย์ 31130,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
บ้านบุโพธิ์,ต.บุโพธิ์ อ.ลำปลายมาศ จ.บุรีรัมย์ 31130,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
บ้านสวายตางวน,ต.หนองใหญ่ อ.สตึก จ.บุรีรัมย์ 31150,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
บ้านพลับ,ต.สะแก อ.สตึก จ.บุรีรัมย์ 31150,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
บุปผาราม,ต.นาโพธิ์ อ.นาโพธิ์ จ.บุรีรัมย์ 31230,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
บ้านหนองตราดใหญ่,ต.ไทยสามัคคี อ.หนองหงส์ จ.บุรีรัมย์ 31240,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
บ้านโคกเจริญ,ต.จันดุม อ.พลับพลาชัย จ.บุรีรัมย์ 31250,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
บ้านจันดุม (คุรุธำรงราษฎร์อนุสรณ์),ต.จันดุม อ.พลับพลาชัย จ.บุรีรัมย์ 31250,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
บ้านแสลงคง,ต.โคกขมิ้น อ.พลับพลาชัย จ.บุรีรัมย์ 31250,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
บ้านใหม่,ต.สามแวง อ.ห้วยราช จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
บ้านตาเสา,ต.ตาเสา อ.ห้วยราช จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
บ้านสนวน,ต.สนวน อ.ห้วยราช จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
บ้านสวายจีกน้อย,ต.สนวน อ.ห้วยราช จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
บ้านโคกเหล็ก,ต.โคกเหล็ก อ.ห้วยราช จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
บ้านเมืองโพธิ์,ต.เมืองโพธิ์ อ.ห้วยราช จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
บ้านกะชาย,ต.ปราสาท อ.บ้านด่าน จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
บ้านปราสาท,ต.ปราสาท อ.บ้านด่าน จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
บ้านกะหาด,ต.วังเหนือ อ.บ้านด่าน จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
บ้านปลัดปุ๊ก,ต.วังเหนือ อ.บ้านด่าน จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
บ้านน้ำคำ(สนง.สลากฯ),ต.ท่าตูม อ.ท่าตูม จ.สุรินทร์ 32120,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
บึงบ้านสนม,ต.สนม อ.สนม จ.สุรินทร์ 32160,เขตพื้นที่การศึกษาสุรินทร์ เขต 2
บ้านประอาง(ประชาธน์คุรุราษฎร์พัฒนา),ต.ปราสาทเยอ อ.ไพรบึง จ.ศรีสะเกษ 33180,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
บ้านประอางสาขาบ้านเตรี๊ยะ,ต.ปราสาทเยอ อ.ไพรบึง จ.ศรีสะเกษ 33180,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
บ้านบาก,ต.ไร่น้อย อ.เมืองอุบลราชธานี จ.อุบลราชธานี 34000,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
บ้านค้อหวาง,ต.คูเมือง อ.วารินชำราบ จ.อุบลราชธานี 34190,เขตพื้นที่การศึกษาอุบลราชธานี เขต 4
บ้านเปาะ,ต.ค้อวัง อ.ค้อวัง จ.ยโสธร 35160,เขตพื้นที่การศึกษายโสธร เขต 1
บ้านโพนเงิน,ต.เมืองบัว อ.เกษตรวิสัย จ.ร้อยเอ็ด 45150,เขตพื้นที่การศึกษาร้อยเอ็ด เขต 2
บ้านกุดสังข์,ต.หัวงัว อ.ยางตลาด จ.กาฬสินธุ์ 46120,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 2
บ้านดอนกลาง,ต.หัวนาคำ อ.ยางตลาด จ.กาฬสินธุ์ 46120,เขตพื้นที่การศึกษากาฬสินธุ์ เขต 2
บึงเหล็ก,ต.ดอนนางหงส์ อ.ธาตุพนม จ.นครพนม 48110,เขตพื้นที่การศึกษานครพนม เขต 1
บึงเหล็ก,ต.ดอนนางหงส์ อ.ธาตุพนม จ.นครพนม 48110,เขตพื้นที่การศึกษานครพนม เขต 22
บ้านเหล่า,ต.เมืองก๋าย อ.แม่แตง จ.เชียงใหม่,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
บ้านเหล่า สาขาบ้านม่อนเงาะ,ต.เมืองก๋าย อ.แม่แตง จ.เชียงใหม่,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
บ้านป้อก,ต.สะเมิงเหนือ อ.สะเมิง จ.เชียงใหม่ 50250,เขตพื้นที่การศึกษาเชียงใหม่ เขต 2
บุปผาราม,ต.สันกลาง อ.สันป่าตอง จ.เชียงใหม่ 50120,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
บ้านดง,ต.บ้านแม อ.สันป่าตอง จ.เชียงใหม่ 50120,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
บ้านน้อย,ต.สันกำแพง อ.สันกำแพง จ.เชียงใหม่ 50130,เขตพื้นที่การศึกษาเชียงใหม่ เขต 1
บ้านใหม่,ต.ร้องวัวแดง อ.สันกำแพง จ.เชียงใหม่ 50130,เขตพื้นที่การศึกษาเชียงใหม่ เขต 1
บ้านโป่ง,ต.บวกค้าง อ.สันกำแพง จ.เชียงใหม่ 50130,เขตพื้นที่การศึกษาเชียงใหม่ เขต 1
บ้านหม้อ,ต.ห้วยทราย อ.สันกำแพง จ.เชียงใหม่ 50130,เขตพื้นที่การศึกษาเชียงใหม่ เขต 1
บ้านโห้ง,ต.ออนใต้ อ.สันกำแพง จ.เชียงใหม่ 50130,เขตพื้นที่การศึกษาเชียงใหม่ เขต 1
บวกครกเหนือ,ต.ท่าวังตาล อ.สารภี จ.เชียงใหม่ 50140,เขตพื้นที่การศึกษาเชียงใหม่ เขต 4
บ้านท่า,ต.ปงตำ อ.ไชยปราการ จ.เชียงใหม่ 50320,เขตพื้นที่การศึกษาเชียงใหม่ เขต 3
บ้านม่อน,ต.แม่ทา อ.แม่ออน จ.เชียงใหม่ 50130,เขตพื้นที่การศึกษาเชียงใหม่ เขต 1
บ้านหลุก,ต.เหมืองง่า อ.เมืองลำพูน จ.ลำพูน 51000,เขตพื้นที่การศึกษาลำพูน เขต 1
บ้านม่วง,ต.บ้านแป้น อ.เมืองลำพูน จ.ลำพูน 51000,เขตพื้นที่การศึกษาลำพูน เขต 1
บ้านแจ่ม,ต.มะเขือแจ้ อ.เมืองลำพูน จ.ลำพูน 51000,เขตพื้นที่การศึกษาลำพูน เขต 1
บ้านม้า,ต.ศรีบัวบาน อ.เมืองลำพูน จ.ลำพูน 51000,เขตพื้นที่การศึกษาลำพูน เขต 1
บ่อโจง,ต.หนองหนาม อ.เมืองลำพูน จ.ลำพูน 51000,เขตพื้นที่การศึกษาลำพูน เขต 1
บ้านขว้าง,ต.หนองหนาม อ.เมืองลำพูน จ.ลำพูน 51000,เขตพื้นที่การศึกษาลำพูน เขต 1
บ้านก้อง,ต.ปากบ่อง อ.ป่าซาง จ.ลำพูน 51120,เขตพื้นที่การศึกษาลำพูน เขต 1
บ้านดอน,ต.แม่แรง อ.ป่าซาง จ.ลำพูน 51120,เขตพื้นที่การศึกษาลำพูน เขต 1
บ้านไร่,ต.ม่วงน้อย อ.ป่าซาง จ.ลำพูน 51120,เขตพื้นที่การศึกษาลำพูน เขต 1
บ้านเรือน,ต.บ้านเรือน อ.ป่าซาง จ.ลำพูน 51120,เขตพื้นที่การศึกษาลำพูน เขต 1
บ้านเหล่า,ต.บ้านเรือน อ.ป่าซาง จ.ลำพูน 51120,เขตพื้นที่การศึกษาลำพูน เขต 1
บ้านหวาย,ต.มะกอก อ.ป่าซาง จ.ลำพูน 51120,เขตพื้นที่การศึกษาลำพูน เขต 1
บ้านธิ,ต.บ้านธิ อ.บ้านธิ จ.ลำพูน 51180,เขตพื้นที่การศึกษาลำพูน เขต 1
บ้านดง,ต.วังผาง อ.เวียงหนองล่อง จ.ลำพูน 51120,เขตพื้นที่การศึกษาลำพูน เขต 2
บ้านเวียงหนองล่อง,ต.วังผาง อ.เวียงหนองล่อง จ.ลำพูน 51120,เขตพื้นที่การศึกษาลำพูน เขต 2
บ้านแม่ต๋ำ,ต.บ้านเอื้อม อ.เมืองลำปาง จ.ลำปาง 52000,เขตพื้นที่การศึกษาลำปาง เขต 1
บ้านสัก,ต.บ้านเอื้อม อ.เมืองลำปาง จ.ลำปาง 52000,เขตพื้นที่การศึกษาลำปาง เขต 1
บ้านฮ่อง,ต.บ้านเอื้อม อ.เมืองลำปาง จ.ลำปาง 52000,เขตพื้นที่การศึกษาลำปาง เขต 1
บ้านเป้า,ต.บ้านเป้า อ.เมืองลำปาง จ.ลำปาง 52000,เขตพื้นที่การศึกษาลำปาง เขต 1
บ้านแลง,ต.บุญนาคพัฒนา อ.เมืองลำปาง จ.ลำปาง 52000,เขตพื้นที่การศึกษาลำปาง เขต 1
บ้านแขม,ต.แม่เมาะ อ.แม่เมาะ จ.ลำปาง 52220,เขตพื้นที่การศึกษาลำปาง เขต 1
บ้านทุ่ง,ต.หัวเสือ อ.แม่ทะ จ.ลำปาง 52150,เขตพื้นที่การศึกษาลำปาง เขต 2
บ้านใหม่,ต.วังแดง อ.ตรอน จ.อุตรดิตถ์ 53140,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
บ้านเกาะ,ต.บ้านดารา อ.พิชัย จ.อุตรดิตถ์ 53220,เขตพื้นที่การศึกษาอุตรดิตถ์ เขต 1
บุญเจริญ(รัฐราษฎร์รังสรรค์),ต.แม่หล่าย อ.เมืองแพร่ จ.แพร่ 54000,เขตพื้นที่การศึกษาแพร่ เขต 1
บุญเกิดวิทยาแสงส่องหล้า 1,ต.ดอกคำใต้ อ.ดอกคำใต้ จ.พะเยา 56120,เขตพื้นที่การศึกษาพะเยา เขต 1
บ้านมะเกลือ,ต.บ้านมะเกลือ อ.เมืองนครสวรรค์ จ.นครสวรรค์ 60000,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
บึงน้ำใส,ต.บ้านมะเกลือ อ.เมืองนครสวรรค์ จ.นครสวรรค์ 60000,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
บ้านไร่,ต.พระนอน อ.เมืองนครสวรรค์ จ.นครสวรรค์ 60000,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
บางม่วง,ต.วัดไทร อ.เมืองนครสวรรค์ จ.นครสวรรค์ 60000,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
บริรักษ์ประชาสาร,ต.หนองกระโดน อ.เมืองนครสวรรค์ จ.นครสวรรค์ 60240,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
บางมะฝ่อ (จันทโชตอนุสรณ์),ต.บางมะฝ่อ อ.โกรกพระ จ.นครสวรรค์ 60170,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
บางประมุง,ต.บางประมุง อ.โกรกพระ จ.นครสวรรค์ 60170,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
บางไซ,ต.พิกุล อ.ชุมแสง จ.นครสวรรค์ 60120,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
บางเคียน,ต.บางเคียน อ.ชุมแสง จ.นครสวรรค์ 60120,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
บ้านลาด,ต.บางเคียน อ.ชุมแสง จ.นครสวรรค์ 60120,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
บ้านคลอง,ต.อ่างทอง อ.บรรพตพิสัย จ.นครสวรรค์ 60180,เขตพื้นที่การศึกษานครสวรรค์ เขต 2
บ้านแดน,ต.บ้านแดน อ.บรรพตพิสัย จ.นครสวรรค์ 60180,เขตพื้นที่การศึกษานครสวรรค์ เขต 2
บางแก้ว(บางแก้วพิทยาคม),ต.บางแก้ว อ.บรรพตพิสัย จ.นครสวรรค์ 60180,เขตพื้นที่การศึกษานครสวรรค์ เขต 2
บ้านไผ่,ต.ตาสัง อ.บรรพตพิสัย จ.นครสวรรค์ 60180,เขตพื้นที่การศึกษานครสวรรค์ เขต 2
บ้านวัง,ต.ตาสัง อ.บรรพตพิสัย จ.นครสวรรค์ 60180,เขตพื้นที่การศึกษานครสวรรค์ เขต 2
บ้านพลัง,ต.หนองกรด อ.บรรพตพิสัย จ.นครสวรรค์ 60180,เขตพื้นที่การศึกษานครสวรรค์ เขต 2
บ่อนิมิต,ต.ช่องแค อ.ตาคลี จ.นครสวรรค์ 60210,เขตพื้นที่การศึกษานครสวรรค์ เขต 3
บ้านใหม่,ต.สำโรงชัย อ.ไพศาลี จ.นครสวรรค์ 60220,เขตพื้นที่การศึกษานครสวรรค์ เขต 3
บ้านบน,ต.ม่วงหัก อ.พยุหะคีรี จ.นครสวรรค์ 60130,เขตพื้นที่การศึกษานครสวรรค์ เขต 1
บ้านวังดินดาด,ต.วังม้า อ.ลาดยาว จ.นครสวรรค์ 60150,เขตพื้นที่การศึกษานครสวรรค์ เขต 2
